sample_id,source_file,sha256,source_format,width,height,resized_width,resized_height,crop_x0,crop_y0,caption,dup_group,dev200_idx,subset500
00000,DIV8K/train_HR/1250.png,7d6b9333a2a479d0b5bed85327fef58dacf32567ab7e63320130dae1c7485735,PNG,6720,4416,3117,2048,534,0,,,,
00001,DIV8K/train_HR/1187.png,9ddeb1db506ab8d26bb4937286885ac1c61d79b212c787f8b86b8401d10dd86e,PNG,6720,5184,2655,2048,303,0,,,,
00002,DIV8K/train_HR/1322.png,177610fb54406815ed3ce3d4861c35d80d14a0e980effa69eca675e2434fa422,PNG,6720,4416,3117,2048,534,0,,,,
00003,DIV8K/train_HR/0934.png,8694a63b86629da3190cba854f862a3f5d8f1a6422442812d36e00c4e45057de,PNG,6720,3648,3773,2048,862,0,,,,
00004,DIV8K/train_HR/0754.png,309bcb6cab19b2653d68cf579e696b9b433df77b5f5a8755ae14961700bef5c3,PNG,6720,4416,3117,2048,534,0,,,,
00005,DIV8K/train_HR/1164.png,143b1d7fd97330f8b590b22d335fdca7f50cae639d85bf50f71ff245330dbcd1,PNG,6720,4416,3117,2048,534,0,,,,
00006,DIV8K/train_HR/0504.png,3b6b119f4b46b2eb8dcff8d290a0c96e839f6229759a85b61a0009d7052930d1,PNG,3264,2112,3165,2048,558,0,,,,
00007,DIV8K/train_HR/1414.png,22d8186470fa1ed3d47ff7c8d3cc0289ed4f5378e2a89698c32e613782879737,PNG,7680,4992,3151,2048,551,0,,,,
00008,DIV8K/train_HR/1237.png,98ce376aa654288e584ebab637bdc593d2ff34e4ee7e3262bfc1e0a53aab5571,PNG,4416,6720,2048,3117,0,534,,,,
00009,DIV8K/train_HR/0670.png,f363b8a28f0fd2903b7414c5a6089c2d4efb249115ee044261ec8c878347c2bc,PNG,6720,3264,4216,2048,1084,0,,,,
00010,DIV8K/train_HR/0281.png,67a359c66cbf73cc20b0fbda34f04572a7c769ab2bf04a4c7be608ee808446ff,PNG,5760,3072,3840,2048,896,0,,,,
00011,DIV8K/train_HR/0472.png,5a56d00a8a289b2f9309d0468400889777b8c2c2b9c8e3d56878f747b0b4c7c8,PNG,6720,4416,3117,2048,534,0,,,,
00012,DIV8K/train_HR/0818.png,9b8c26228a85104b9a63c90c8fd385320685dc0fd1e44e4cac8da16e7f3aa15f,PNG,6720,4416,3117,2048,534,0,,,,
00013,DIV8K/train_HR/1145.png,76fb20677b20218abb7d387be4c5f2598868b70449ea60dfea4baefec3531546,PNG,6720,4416,3117,2048,534,0,,,,
00014,DIV8K/train_HR/1403.png,c0875f9326c5804122eb1eb64b72e8144f9e740222582c9b809a89eea899e026,PNG,7680,4800,3277,2048,614,0,,,,
00015,DIV8K/train_HR/0425.png,a4fe9c1bc62c51cb68a44f17918a9e1e659532d5e941e076f5395e4a144e148c,PNG,5760,3456,3413,2048,682,0,,,,
00016,DIV8K/train_HR/0878.png,6a36d7d7e1416d75c95b3f570992fecedec6bf27f937081128a850aeb0b99dc1,PNG,3264,2496,2678,2048,315,0,,,,
00017,DIV8K/train_HR/0719.png,30364d24bb1001b27bf1d6c24761a2dc2e94a01b006e7a3bb5da22662fe92e9c,PNG,6720,4416,3117,2048,534,0,,,,
00018,DIV8K/train_HR/0843.png,2e8cd3ac7d30712505c44c8baf97480d03e39b4650502e3833f2314f2eb2fff9,PNG,6720,4416,3117,2048,534,0,,,,
00019,DIV8K/train_HR/1144.png,0a50c809aaafd7ca68aec4cda2ba981d277d6e2aea22555feae51822c39ba3b8,PNG,6720,4992,2757,2048,354,0,,,,
00020,DIV8K/train_HR/0295.png,495f88c79ab4f5db8d812240e9bc439f3880dee009ee479fd5a909908083c224,PNG,5760,3840,3072,2048,512,0,,,,
00021,DIV8K/train_HR/1500.png,a01dc545f0d1c3e5549137073fd47e834c46b6b0f1358b411c7bd60572279c7a,PNG,7680,4800,3277,2048,614,0,,,,
00022,DIV8K/train_HR/1142.png,74743ecc3b53e3ec4c7097fb0ebf461293af1920bf376e336b45735d80ccd1be,PNG,6720,4416,3117,2048,534,0,,,,
00023,DIV8K/train_HR/0436.png,e9a58a7a97f3bed9ab1161ea00015854acd745a5b0c7299cc66f1770d95fe2d0,PNG,4224,5760,2048,2793,0,372,,,,
00024,DIV8K/train_HR/1405.png,95ec7ec98cded13281f1107fb248b955e75135a36b7c7f5f553c5b355062e378,PNG,7680,4992,3151,2048,551,0,,,,
00025,DIV8K/train_HR/0912.png,ccc1b43f712552f6950727543e183242533309ad309eaf936dd479c86e90bf0d,PNG,6720,4416,3117,2048,534,0,,,,
00026,DIV8K/train_HR/1235.png,4dabde5c9e937fcc9b269d48bae0c980d2a9993a9fdd1fa35834f1a9e75351d1,PNG,6720,4416,3117,2048,534,0,,,,
00027,DIV8K/train_HR/0589.png,f2cdb5d6ef5abf99515979f1f874bc017c3042805ba4b14658317e7b0ee55205,PNG,3264,2112,3165,2048,558,0,,,,
00028,DIV8K/train_HR/0074.png,dc929f20d4eb026134c449782ee16a697eba5c7b5189bea223d2b58090e7cf77,PNG,5760,3840,3072,2048,512,0,,,,
00029,DIV8K/train_HR/1279.png,0d7e2c69bd0a822a5fe9cc1d33505281543590edab8d4645ff9d15a4669c6c76,PNG,6720,3456,3982,2048,967,0,,,,
00030,DIV8K/train_HR/0562.png,0126f62c413d7317c99c65601aaeee699274d51aa0d583fb662ca07c713c32be,PNG,6720,4416,3117,2048,534,0,,,,
00031,DIV8K/train_HR/0597.png,72c84b6db396ec15843a70790b27f21548f9ff7c8c625786e5faecdcab9e4299,PNG,6720,4416,3117,2048,534,0,,,,
00032,DIV8K/train_HR/0619.png,7d0d121a87b032ac953336d7f927883ac64a727aa93ba01a622f38627fd6894d,PNG,6720,4416,3117,2048,534,0,,,,
00033,DIV8K/train_HR/1303.png,1c09c6b1e039c836f30d915824f8e722b1c95a55c28f87e84ddcdeecbe765844,PNG,6720,3264,4216,2048,1084,0,,,,
00034,DIV8K/train_HR/0280.png,117fd4933c8ac67abf9498c7ff5651423526e83edd750e6632ad9f2bbdeb2133,PNG,5760,3840,3072,2048,512,0,,,,
00035,DIV8K/train_HR/0377.png,972fdb955eae9df4ccbb5cf82e3c7abe1b097a351455dca22eb8c81d192547ef,PNG,5760,3840,3072,2048,512,0,,,,
00036,DIV8K/train_HR/0464.png,f894afad7d63f3431f1c4412cb799c7ecc09592b6a330a8e0cc359ce684dd3c5,PNG,5760,3840,3072,2048,512,0,,,,
00037,DIV8K/train_HR/1210.png,e6ca1977a907c7d9693e3d0465abcb910f3e09ff205e143bb678afcf1ff7ca2b,PNG,6720,4416,3117,2048,534,0,,,,
00038,DIV8K/train_HR/1417.png,6c71c67d682dff298b93f956cec912e169feabcff8dd4cc1e5c1cc56c2a3883c,PNG,7680,4992,3151,2048,551,0,,,,
00039,DIV8K/train_HR/0766.png,2ebe89f4074198cc4e39dde12923da2d34aa6018530a5897226f29ea5f35c976,PNG,6720,4416,3117,2048,534,0,,,,
00040,DIV8K/train_HR/0856.png,155ba2397f80da51b6d36b399392fe898f7688d86a9afbb15245e3f266350886,PNG,6720,4416,3117,2048,534,0,,,,
00041,DIV8K/train_HR/1229.png,3a514177b21a8c6810c4023e08b90e9e5cebdf40e158cbe19040425a071ccc3c,PNG,6720,4416,3117,2048,534,0,,,,
00042,DIV8K/train_HR/0810.png,f422e32348d29d32d57aa02472ad9fcd68272dac4d1a8e815cbb7ba89faa2afa,PNG,6720,4416,3117,2048,534,0,,,,
00043,DIV8K/train_HR/0214.png,67d4fe69bd0a3d182a9aa3175d880490dc5ededfb7977c73b8ff8f42b65202c5,PNG,5760,4224,2793,2048,372,0,,,,
00044,DIV8K/train_HR/1252.png,f3d60b77ece8709108a9d7037ae3b21689a21c132bbf141f6e50d9aa530d1336,PNG,6720,3264,4216,2048,1084,0,,,,
00045,DIV8K/train_HR/1486.png,eac986c4e7efd9f4ca3a96700ead80d92f04ecef8996c2029e8a037c786c0edd,PNG,7680,4992,3151,2048,551,0,,,,
00046,DIV8K/train_HR/0982.png,e2e342b8d53844fe43ce7741965725e8de8f7c9d4d6fd23fdae5e3172cb1d911,PNG,6720,4224,3258,2048,605,0,,,,
00047,DIV8K/train_HR/0747.png,8fd0a778609368a80d2fcb5b4e710c720ae4de3e36a631d8abc81b3e323a09eb,PNG,4416,6720,2048,3117,0,534,,,,
00048,DIV8K/train_HR/1272.png,1e36a5aae8290474482425f83ad7f3b05aabc6cf3d4a8407f214c5bd4b2a3a45,PNG,6720,4416,3117,2048,534,0,,,,
00049,DIV8K/train_HR/1174.png,0033338a63aa382594f574afadb3142ee4b036fd822e5c7bd438357639acb649,PNG,6720,4416,3117,2048,534,0,,,,
00050,DIV8K/train_HR/0916.png,1684b8d699cad7126f1f50fb4f6abeb111da195d6d6fbf4f66d1235d85dc7913,PNG,6720,4416,3117,2048,534,0,,,,
00051,DIV8K/train_HR/0477.png,2c6f8e957fef06c24865e13dae8c3c90e990c915a8daa1d295e3e72e857bed5b,PNG,6720,4416,3117,2048,534,0,,,,
00052,DIV8K/train_HR/1436.png,31b8b66fc87f498ece76f5f491d4a55be317010b6c3523739e6254adbadf7843,PNG,7680,4992,3151,2048,551,0,,,,
00053,DIV8K/train_HR/1350.png,914ba5831bfafc604636baeef40450aa896deb85abdd69acb137864d0605dc57,PNG,6720,4416,3117,2048,534,0,,,,
00054,DIV8K/train_HR/1373.png,cf0890bb19552f120b985ad70e6e7227ffc6f026581f838829c687a5f59defee,PNG,6720,4416,3117,2048,534,0,,,,
00055,DIV8K/train_HR/1327.png,8ef2eddca5c4af7471848f58f370f995581b8b884b7e84768b79475ac1d3e2de,PNG,6720,3072,4480,2048,1216,0,,,,
00056,DIV8K/train_HR/1082.png,7861fb1f4626e82b2507b8d52a8a7cc338cec7db5fb2e9a4b2c82ac0ca905534,PNG,6720,2304,5973,2048,1962,0,,,,
00057,DIV8K/train_HR/0733.png,ec400cf6a83368f4ca5ac6d797344f72bf0439e68c9903035ea635a5f34fbb20,PNG,6720,4416,3117,2048,534,0,,,,
00058,DIV8K/train_HR/1304.png,7a56e88d327b848d08e978771631a2a61696dc843b715875249305aa8d0e53db,PNG,6720,4416,3117,2048,534,0,,,,
00059,DIV8K/train_HR/0972.png,a46f3ff11b4dc416dc72667b76bae989e52aa620ce7a31ff7a2c801808df9680,PNG,6720,4416,3117,2048,534,0,,,,
00060,DIV8K/train_HR/1338.png,396ec23667682d8d79acd04777098bc8a022aad98a80be7140cbc1b7c5d915ac,PNG,4416,6720,2048,3117,0,534,,,,
00061,DIV8K/train_HR/0511.png,f032652cb4d6634fab48635054e6fcef9cec61996cc96dc12e5ef4c8d2908a28,PNG,4416,6720,2048,3117,0,534,,,,
00062,DIV8K/train_HR/0489.png,193a5e71adff116974553634ef1df849257a840978ba0f30c84b95a671e0353f,PNG,6720,6720,2048,2048,0,0,,,,
00063,DIV8K/train_HR/0741.png,0b213e0c04d2d361e38e1b8ceefec0eee3c57c7596956ba4bee7dfaaf20b3a46,PNG,6720,4416,3117,2048,534,0,,,,
00064,DIV8K/train_HR/0850.png,8ae0d4c70da57d915712159dfb6ea9738c598620aa86151a85229521599a5a71,PNG,6720,4416,3117,2048,534,0,,,,
00065,DIV8K/train_HR/0578.png,e3b43d45bdb025a296e92772b59bd4be97e8091d5514aa04caa37e4cc3a44a1f,PNG,6720,4416,3117,2048,534,0,,,,
00066,DIV8K/train_HR/0107.png,d027e786702336367aea903209892d487b39b12b31d3436c48993099104a9ec7,PNG,5760,3840,3072,2048,512,0,,,,
00067,DIV8K/train_HR/0354.png,646016c33808df9844768353b0c08b515ac15e4ad2c7cc5d39c02aa0297d94da,PNG,3840,5760,2048,3072,0,512,,,,
00068,DIV8K/train_HR/0676.png,e3d88536b4846d6cd4f51cf579c73efa522c5359a7d263b51ec448479b69aca5,PNG,3264,2112,3165,2048,558,0,,,,
00069,DIV8K/train_HR/0093.png,0aea06e872a71600d83e94908b5c9f83f297dc80f4c902d7e2c496ef2e9c9588,PNG,5760,3840,3072,2048,512,0,,,,
00070,DIV8K/train_HR/1453.png,864f688d7ba8996dfbbb543ecee28a2e81aa457de23ced188112b8df1088e227,PNG,7680,4992,3151,2048,551,0,,,,
00071,DIV8K/train_HR/1387.png,dd3b2985a907946bb35be034b6f45c386c2cf35dccbb90bce5ae6e668ea9f906,PNG,6720,3648,3773,2048,862,0,,,,
00072,DIV8K/train_HR/1114.png,45988354440fc4e9899d593257e73a84f775aac81ffd5842bc9347669cf00221,PNG,4608,6720,2048,2987,0,469,,,,
00073,DIV8K/train_HR/0634.png,12c02c24a33a4b28e2d44fbed151356cefaaf71cf3b59910c17eb5cc71597194,PNG,4416,6720,2048,3117,0,534,,,,
00074,DIV8K/train_HR/0991.png,1b00438627d9ccfa457127bd528aaada2fd1906acc86e4c1d1a5dfca0b2158a3,PNG,6720,4416,3117,2048,534,0,,,,
00075,DIV8K/train_HR/0599.png,f1b0818c5d08a194aed9deda58f8629ad6b5a1be0dc7e599d8e2e57743215532,PNG,6720,4416,3117,2048,534,0,,,,
00076,DIV8K/train_HR/0356.png,90f7cee513a3326c734cdbdef4972900a77ea9c807fa949ce3cef1d223b50a33,PNG,5760,3840,3072,2048,512,0,,,,
00077,DIV8K/train_HR/0260.png,92a82a1b3ccbe4c84ce1736a758915658802e34376143ff4d751f2036bfcd845,PNG,2688,5760,2048,4389,0,1170,,,,
00078,DIV8K/train_HR/0503.png,e3a84778d5a592065f7ec0a863c8273625cbf015133b66559fbd3326bf5006ba,PNG,6720,3648,3773,2048,862,0,,,,
00079,DIV8K/train_HR/0911.png,7059dc374783a7c9b5c2b72879c866569216d78fdfbf6d4355dd51160b8c79bc,PNG,6720,4416,3117,2048,534,0,,,,
00080,DIV8K/train_HR/0493.png,33bf11900b7989dfc912fed1df2399c62c6569ecf618b46a0eb66335e9e09364,PNG,6720,5760,2389,2048,170,0,,,,
00081,DIV8K/train_HR/0994.png,151ffd1c69d2657cd0f2ebf84dd20050344a4190d6333578fa43d6fba0f97ce5,PNG,6720,4416,3117,2048,534,0,,,,
00082,DIV8K/train_HR/1391.png,a13912bed7274e6a54d54262902fd3a62492f3b92bd7cde1ad840b79a49482d5,PNG,6720,4416,3117,2048,534,0,,,,
00083,DIV8K/train_HR/0008.png,cc8ed5e6e1a6b9d6faa6626b6b8c3ce49b1c7e401b9759623adcb08df239761d,PNG,5760,3840,3072,2048,512,0,,,,
00084,DIV8K/train_HR/0300.png,55572c6874e0209ad546bec394f86858c9a80a93bf808a9bcee71a1fbdfb6da5,PNG,5760,3840,3072,2048,512,0,,,,
00085,DIV8K/train_HR/1115.png,dfe8542244dcefb624c29b02e2dffbd18087a2349c0d8c175a3f5ac1823837fe,PNG,4416,6720,2048,3117,0,534,,,,
00086,DIV8K/train_HR/0696.png,e8f59c7dd243f26bbe27f7cb131e24cfb6583c0e5b11efcb43d993fc30fdcce0,PNG,6720,4416,3117,2048,534,0,,,,
00087,DIV8K/train_HR/1138.png,62418cf0014a7e6e1379a7b441a2a7db5895a6acb067dc713f7f99b5e4f219e3,PNG,3264,2112,3165,2048,558,0,,,,
