sample_id,canny_f1,canny_f1_strict,canny_tol_px
00000,1.0,1.0,1
00001,1.0,1.0,1
00002,1.0,1.0,1
00003,1.0,1.0,1
00004,1.0,1.0,1
00005,1.0,1.0,1
00006,1.0,1.0,1
00007,1.0,1.0,1
00008,1.0,1.0,1
00009,1.0,1.0,1
00010,1.0,1.0,1
00011,1.0,1.0,1
00012,1.0,1.0,1
00013,1.0,1.0,1
00014,1.0,1.0,1
00015,1.0,1.0,1
00016,1.0,1.0,1
00017,1.0,1.0,1
00018,1.0,1.0,1
00019,1.0,1.0,1
00020,1.0,1.0,1
00021,1.0,1.0,1
00022,1.0,1.0,1
00023,1.0,1.0,1
00024,1.0,1.0,1
00025,1.0,1.0,1
00026,1.0,1.0,1
00027,1.0,1.0,1
00028,1.0,1.0,1
00029,1.0,1.0,1
00030,1.0,1.0,1
00031,1.0,1.0,1
00032,1.0,1.0,1
00033,1.0,1.0,1
00034,1.0,1.0,1
00035,1.0,1.0,1
00036,1.0,1.0,1
00037,1.0,1.0,1
00038,1.0,1.0,1
00039,1.0,1.0,1
00040,1.0,1.0,1
00041,1.0,1.0,1
00042,1.0,1.0,1
00043,1.0,1.0,1
00044,1.0,1.0,1
00045,1.0,1.0,1
00046,1.0,1.0,1
00047,1.0,1.0,1
00048,1.0,1.0,1
00049,1.0,1.0,1
00050,1.0,1.0,1
00051,1.0,1.0,1
00052,1.0,1.0,1
00053,1.0,1.0,1
00054,1.0,1.0,1
00055,1.0,1.0,1
00056,1.0,1.0,1
00057,1.0,1.0,1
00058,1.0,1.0,1
00059,1.0,1.0,1
00060,1.0,1.0,1
00061,1.0,1.0,1
00062,1.0,1.0,1
00063,1.0,1.0,1
00064,1.0,1.0,1
00065,1.0,1.0,1
00066,1.0,1.0,1
00067,1.0,1.0,1
00068,1.0,1.0,1
00069,1.0,1.0,1
00070,1.0,1.0,1
00071,1.0,1.0,1
00072,1.0,1.0,1
00073,1.0,1.0,1
00074,1.0,1.0,1
00075,1.0,1.0,1
00076,1.0,1.0,1
00077,1.0,1.0,1
00078,1.0,1.0,1
00079,1.0,1.0,1
00080,1.0,1.0,1
00081,1.0,1.0,1
00082,1.0,1.0,1
00083,1.0,1.0,1
00084,1.0,1.0,1
