sample_id,deqa,unipercept_iaa,unipercept_iqa,vqr1
00000,3.728515625,73.5,66.0,4.3
00001,4.01171875,59.75,68.5,4.7
00002,4.4140625,69.5,79.5,4.87
00003,4.4609375,56.0,79.0,4.87
00004,3.869140625,70.0,70.0,4.25
00005,4.46484375,62.25,75.5,4.75
00006,3.013671875,55.25,47.25,3.8
00007,4.42578125,80.0,79.0,4.8
00008,4.4921875,78.0,79.0,4.8
00009,4.28125,81.5,75.5,4.8
00010,4.05859375,84.5,75.0,4.6
00011,4.3515625,78.0,76.0,4.8
00012,4.1171875,76.0,77.0,4.6
00013,4.546875,76.5,79.5,4.95
00014,4.453125,77.0,78.5,4.8
00015,4.19140625,76.0,71.5,4.5
00016,3.51171875,73.5,62.5,3.8
00017,4.21875,60.25,66.0,4.7
00018,4.6171875,80.0,80.0,4.9
00019,4.51171875,79.0,79.5,4.95
00020,4.54296875,68.0,80.0,4.9
00021,2.96484375,41.25,45.0,4.2
00022,4.515625,81.0,79.5,4.9
00023,4.48046875,65.0,79.0,4.9
00024,4.5,69.0,78.0,4.8
00025,4.41015625,79.0,78.5,4.75
00026,4.3125,76.0,79.0,4.5
00027,4.51953125,74.5,79.5,4.95
00028,4.5078125,80.0,80.0,4.8
00029,4.4375,78.0,79.5,4.67
00030,3.76953125,59.0,58.75,4.38
00031,4.40234375,61.75,75.0,4.8
00032,3.51171875,81.5,59.0,3.8
00033,3.869140625,71.5,73.0,4.5
00034,4.3515625,58.5,62.5,4.6
00035,4.203125,80.0,79.5,4.8
00036,4.52734375,80.5,80.0,4.75
00037,4.2734375,79.5,80.0,4.75
00038,4.39453125,76.5,79.0,4.8
00039,4.17578125,85.0,80.0,4.8
00040,4.3828125,81.0,79.5,4.9
00041,4.375,81.0,79.0,4.67
00042,4.40625,81.5,79.5,4.8
00043,3.791015625,84.5,74.0,4.3
00044,4.5390625,80.0,79.5,4.8
00045,4.4375,83.5,79.5,4.5
00046,4.56640625,73.5,79.5,4.95
00047,4.578125,74.0,79.5,4.87
00048,3.93359375,79.5,65.0,4.2
00049,4.44921875,76.5,79.5,4.6
00050,3.697265625,75.5,60.5,4.3
00051,3.8359375,65.0,71.5,4.2
00052,4.265625,73.5,76.5,4.7
00053,4.49609375,50.5,80.0,4.8
00054,3.607421875,80.5,59.5,4.6
00055,4.2578125,63.25,74.0,4.8
00056,4.33203125,65.0,74.0,4.4
00057,4.11328125,74.5,63.5,4.3
00058,4.3125,69.0,72.0,4.25
00059,4.39453125,75.0,77.0,4.7
00060,4.2734375,74.5,79.0,4.3
00061,4.4140625,72.0,79.0,4.87
00062,4.0625,46.25,51.25,4.6
00063,3.908203125,64.0,67.0,3.2
00064,4.45703125,64.5,77.5,4.8
00065,4.0,81.0,79.5,4.38
00066,3.921875,63.75,65.0,3.0
00067,4.4296875,51.25,58.0,4.8
00068,3.953125,78.5,65.0,4.5
00069,4.2265625,72.5,75.0,4.5
00070,4.4453125,51.75,79.0,4.9
00071,2.380859375,36.25,28.375,1.8
00072,4.5625,80.0,80.0,4.87
00073,4.38671875,78.5,79.5,4.8
00074,4.3828125,85.0,79.5,4.75
00075,3.2109375,66.0,59.5,4.38
00076,4.50390625,60.0,79.0,4.8
00077,3.185546875,86.0,37.75,3.8
00078,4.515625,80.0,79.5,4.8
00079,4.5078125,80.5,79.5,4.75
00080,4.47265625,63.5,69.5,4.3
00081,4.48828125,65.5,77.5,4.75
00082,3.4609375,85.0,56.5,4.0
00083,4.109375,63.75,74.0,4.7
00084,4.41796875,79.5,80.0,4.8
00085,4.1171875,80.5,74.5,4.7
00086,3.25,45.5,45.0,3.5
00087,3.958984375,64.5,74.0,4.67
00088,3.32421875,81.0,70.0,4.2
00089,4.30078125,80.0,79.5,4.7
00090,4.50390625,68.5,79.0,4.8
00091,3.59375,77.0,66.0,3.8
00092,4.46875,79.5,79.5,4.8
00093,4.2109375,74.0,74.5,4.5
00094,3.919921875,64.5,69.5,4.25
00095,4.41796875,77.0,79.0,4.67
00096,4.29296875,78.5,79.0,4.8
00097,4.20703125,78.0,75.0,4.3
00098,4.09375,79.0,73.5,4.5
00099,4.26171875,62.5,73.0,4.7
00100,4.52734375,80.0,79.5,4.6
00101,4.12890625,63.25,71.5,4.0
00102,4.4609375,75.0,78.5,4.8
00103,3.763671875,84.5,66.0,4.38
00104,3.95703125,81.5,76.0,4.0
00105,4.43359375,60.5,79.0,4.8
00106,4.2890625,77.5,79.5,4.5
00107,4.52734375,59.75,79.5,4.7
00108,4.15625,81.0,80.0,4.5
00109,4.37890625,62.25,74.5,4.8
00110,3.296875,64.0,62.0,4.0
00111,3.890625,64.0,70.5,4.3
00112,4.52734375,68.5,79.5,4.95
00113,4.109375,72.0,69.5,4.67
00114,4.46875,74.5,79.5,4.9
00115,4.5,60.0,79.0,4.9
00116,4.3515625,71.0,76.5,4.75
00117,4.046875,78.5,79.5,4.7
00118,4.1328125,79.5,77.5,4.5
00119,4.5078125,48.5,72.5,4.7
00120,4.48046875,79.0,80.0,4.87
00121,4.3984375,79.0,79.0,4.87
00122,3.5234375,85.5,56.75,4.2
00123,4.4375,78.5,79.5,4.7
00124,4.36328125,65.5,80.0,4.8
00125,4.2734375,81.0,78.0,4.8
00126,4.53515625,69.5,80.0,4.8
00127,4.58984375,58.75,80.0,4.87
00128,2.896484375,57.25,54.75,3.7
00129,4.5546875,72.0,79.5,4.8
00130,4.47265625,77.5,77.5,4.6
00131,4.1171875,58.0,59.75,4.38
00132,3.708984375,85.0,61.25,4.38
00133,4.51171875,80.0,80.0,4.9
00134,4.38671875,80.5,77.5,4.7
00135,4.203125,80.5,80.0,4.8
00136,4.4765625,79.5,79.5,4.7
00137,4.5,79.5,80.0,4.9
00138,4.4765625,79.5,80.0,4.95
00139,4.5625,80.0,80.0,4.95
00140,3.4609375,83.0,75.5,4.2
00141,4.23046875,58.25,62.0,4.8
00142,4.5390625,75.0,79.5,4.9
00143,4.3046875,76.5,80.0,4.7
00144,4.53125,48.0,80.0,4.8
00145,3.81640625,49.25,54.75,4.7
00146,4.578125,51.0,80.0,4.95
00147,4.5,78.5,79.5,4.95
00148,4.58203125,73.0,79.5,4.8
00149,3.0234375,79.5,73.0,4.0
00150,3.8828125,76.5,74.5,4.5
00151,4.52734375,62.25,79.5,4.95
00152,4.49609375,80.0,79.5,4.9
00153,4.19921875,19.125,34.0,3.2
00154,3.951171875,80.0,74.5,4.5
00155,4.48828125,80.5,79.5,4.75
00156,3.91015625,84.5,79.5,4.6
00157,4.4375,77.0,80.0,4.8
00158,4.25,80.0,77.0,4.38
00159,4.4140625,79.5,79.5,4.9
00160,3.931640625,80.0,73.5,4.5
00161,4.453125,61.25,71.0,4.8
