sample_id,deqa,unipercept_iaa,unipercept_iqa,vqr1
00000,3.40625,58.0,53.0,4.0
00001,3.701171875,57.75,62.25,4.6
00002,4.18359375,58.75,76.0,4.8
00003,4.41015625,57.75,75.5,4.87
00004,3.734375,58.75,65.0,4.2
00005,4.29296875,55.75,63.5,4.5
00006,2.701171875,46.25,37.25,3.2
00007,4.0703125,64.5,72.5,4.67
00008,4.2578125,60.25,71.5,4.8
00009,3.892578125,36.25,44.75,3.8
00010,3.876953125,83.0,74.0,4.67
00011,3.91015625,76.0,60.0,4.5
00012,3.376953125,58.5,65.0,4.6
00013,4.46875,71.5,79.0,4.9
00014,4.33984375,64.5,79.0,4.75
00015,3.884765625,52.25,67.5,4.38
00016,3.140625,73.5,58.75,3.8
00017,4.22265625,60.0,66.0,4.6
00018,4.65234375,71.5,79.5,4.87
00019,4.484375,67.0,79.0,4.8
00020,4.484375,63.75,79.5,4.8
00021,2.48828125,21.875,31.0,3.5
00022,4.12890625,72.5,76.0,4.38
00023,4.43359375,57.0,70.0,4.87
00024,4.4140625,56.75,68.0,4.8
00025,3.345703125,28.5,40.5,2.0
00026,4.171875,65.0,72.5,4.2
00027,4.4453125,61.5,70.0,4.8
00028,4.43359375,61.25,74.5,4.9
00029,4.33203125,66.0,78.0,4.7
00030,3.6875,43.25,44.25,3.8
00031,4.046875,56.0,71.0,4.6
00032,3.28515625,59.75,56.5,3.8
00033,3.375,45.0,46.25,4.5
00034,3.9453125,57.0,59.75,4.5
00035,4.05859375,61.5,70.0,4.6
00036,4.46484375,75.0,79.0,4.5
00037,3.84375,52.0,57.75,4.6
00038,4.21484375,67.0,74.5,4.75
00039,3.837890625,82.0,74.5,4.5
00040,4.33984375,74.5,79.0,4.87
00041,4.27734375,78.5,70.0,4.38
00042,3.845703125,66.5,71.5,4.8
00043,3.52734375,85.0,75.0,4.38
00044,4.54296875,78.5,80.0,4.8
00045,4.01171875,42.0,53.25,2.8
00046,4.515625,67.5,79.5,4.95
00047,4.48828125,60.75,75.5,4.95
00048,3.705078125,67.5,65.0,3.8
00049,3.810546875,60.0,73.5,4.5
00050,2.951171875,66.5,48.5,3.9
00051,3.126953125,59.0,62.0,4.0
00052,4.16796875,64.5,72.5,4.5
00053,4.4609375,32.5,76.5,4.7
00054,3.541015625,79.5,58.0,4.5
00055,3.935546875,54.5,66.0,4.8
00056,4.1953125,59.5,70.5,4.3
00057,3.69140625,70.5,58.5,4.0
00058,4.234375,53.25,65.0,4.2
00059,4.09375,59.0,65.0,4.8
00060,3.828125,71.0,74.0,4.0
00061,4.20703125,63.5,74.5,4.87
00062,3.88671875,54.0,58.25,4.67
00063,3.73828125,61.25,63.5,3.5
00064,4.3515625,63.75,76.0,4.67
00065,3.859375,67.0,74.0,4.25
00066,3.68359375,57.25,58.0,4.0
00067,4.3125,53.5,59.25,4.8
00068,3.44140625,65.0,61.5,4.38
00069,3.837890625,53.5,65.0,4.5
00070,4.33984375,51.5,68.5,4.95
00071,2.1328125,28.25,26.25,2.0
00072,4.49609375,76.0,79.5,4.87
00073,4.2265625,63.5,78.5,4.8
00074,4.26171875,71.5,70.5,4.8
00075,2.533203125,59.25,50.0,2.5
00076,4.1640625,58.5,74.5,4.8
00077,2.908203125,85.5,37.75,4.0
00078,4.4140625,74.0,79.0,4.87
00079,4.4609375,77.0,79.0,4.8
00080,4.51171875,58.25,63.0,4.7
00081,4.41796875,62.25,74.0,4.9
00082,3.072265625,84.0,51.25,3.5
00083,3.927734375,56.5,64.5,4.67
00084,4.1796875,75.0,79.5,4.8
00085,3.84765625,62.75,65.0,4.67
00086,2.890625,32.0,39.25,3.2
00087,3.4609375,47.25,48.5,4.0
00088,3.119140625,72.0,67.0,4.2
00089,3.474609375,69.0,65.0,4.7
00090,4.44140625,59.0,70.0,4.9
00091,2.546875,40.0,45.25,2.5
00092,4.21484375,76.0,79.0,4.6
00093,3.638671875,57.5,62.5,3.8
