sample_id,deqa,unipercept_iaa,unipercept_iqa,vqr1
00000,3.88671875,79.5,61.75,4.25
00001,3.8046875,67.5,67.5,4.38
00002,4.51953125,74.5,80.0,4.9
00003,4.453125,62.75,79.5,4.87
00004,3.982421875,75.0,78.5,4.38
00005,3.44921875,67.0,70.5,4.2
00006,2.53515625,80.5,30.375,2.0
00007,4.51953125,80.5,79.5,4.8
00008,4.58203125,80.0,79.5,4.8
00009,4.53125,82.5,80.0,4.7
00010,4.1328125,81.5,79.5,4.5
00011,4.29296875,79.5,79.0,4.5
00012,4.390625,80.0,79.5,4.8
00013,4.5859375,80.0,79.5,4.9
00014,3.99609375,81.0,79.0,4.67
00015,3.38671875,81.5,79.5,4.67
00016,3.947265625,82.0,70.5,4.38
00017,3.8984375,42.5,43.75,4.3
00018,4.55078125,80.5,80.0,4.9
00019,4.51953125,79.0,79.5,4.9
00020,4.5703125,62.75,80.0,4.8
00021,4.1484375,80.5,79.5,4.5
00022,4.57421875,80.5,80.0,4.95
00023,4.48046875,74.0,80.0,4.8
00024,4.53515625,80.5,79.5,4.8
00025,3.60546875,80.0,76.5,4.38
00026,4.2265625,80.5,78.0,4.6
00027,4.29296875,66.0,74.5,4.5
00028,4.4453125,76.0,79.5,4.8
00029,4.26171875,75.5,79.5,4.6
00030,3.33984375,81.0,70.0,4.3
00031,3.943359375,79.5,75.5,4.87
00032,3.740234375,84.0,80.5,4.5
00033,3.587890625,82.5,80.0,4.6
00034,4.26953125,74.0,79.5,4.8
00035,4.31640625,80.0,80.0,4.8
00036,4.5390625,80.5,80.0,4.87
00037,3.787109375,80.5,78.5,4.6
00038,4.0390625,76.0,78.0,4.8
00039,4.06640625,85.0,76.5,4.5
00040,4.28125,80.0,78.5,4.8
00041,4.1953125,82.0,79.5,4.67
00042,4.49609375,80.5,80.0,4.8
00043,3.6484375,84.5,60.5,4.2
00044,3.62890625,73.0,59.0,4.38
00045,4.41015625,80.0,79.5,4.67
00046,4.1875,83.0,74.5,4.3
00047,4.5625,74.5,80.0,4.8
00048,4.12109375,84.0,78.5,4.67
00049,4.5,78.0,79.5,4.6
00050,3.455078125,80.5,60.75,4.3
00051,4.21484375,74.5,78.5,4.5
00052,4.2890625,75.0,77.5,4.38
00053,4.5546875,52.75,79.5,4.67
00054,2.73828125,85.5,58.75,2.0
00055,4.32421875,65.0,78.5,4.6
00056,4.43359375,71.0,79.5,4.5
00057,4.18359375,79.0,74.5,4.2
00058,3.46484375,69.0,65.0,4.0
00059,4.44921875,79.5,79.5,4.67
00060,4.3359375,77.0,79.0,4.3
00061,3.9453125,61.0,79.0,4.67
00062,3.794921875,41.0,43.0,4.3
00063,3.87890625,58.5,60.25,2.0
00064,4.44921875,78.0,79.5,4.8
00065,3.537109375,79.5,76.5,3.8
00066,3.509765625,62.5,55.75,4.2
00067,4.1875,80.5,80.0,4.9
00068,4.04296875,79.0,73.5,4.4
00069,4.2265625,74.5,79.5,4.8
00070,4.359375,58.5,79.0,4.75
00071,3.37109375,59.25,57.25,4.2
00072,4.52734375,80.0,80.0,4.87
00073,4.19140625,84.0,74.5,4.38
00074,4.3125,85.5,80.0,4.8
00075,3.365234375,81.5,75.0,4.67
00076,4.421875,82.0,79.5,4.87
00077,3.08203125,86.0,41.0,3.8
00078,4.59765625,80.5,80.0,4.8
00079,4.4609375,80.5,79.5,4.8
00080,4.0234375,80.0,78.5,4.5
00081,4.24609375,73.5,77.5,4.2
00082,3.5546875,85.0,50.0,4.0
00083,4.06640625,60.25,74.5,4.2
00084,3.658203125,85.5,76.5,4.3
00085,4.09765625,80.5,74.0,4.8
00086,3.14453125,54.25,58.75,3.8
00087,4.18359375,80.5,79.5,4.5
00088,3.94140625,83.0,80.0,4.75
00089,4.3125,84.5,80.0,4.7
00090,4.55859375,76.5,79.5,4.9
00091,3.892578125,81.5,74.5,4.5
00092,4.4140625,78.5,79.0,4.67
00093,4.21875,77.0,79.5,4.8
00094,4.02734375,47.0,50.25,4.7
00095,4.46484375,79.0,79.5,4.67
00096,4.421875,75.5,79.0,4.8
00097,4.1171875,69.5,79.5,4.5
00098,3.904296875,81.0,76.0,4.6
00099,4.55859375,78.5,79.5,4.67
00100,4.40234375,79.5,79.5,4.8
00101,3.806640625,85.5,71.0,4.0
00102,4.484375,65.5,79.5,4.75
00103,3.95703125,85.5,74.0,4.2
00104,3.61328125,83.5,76.0,3.5
00105,4.24609375,63.0,74.5,4.6
00106,4.36328125,80.5,79.0,4.75
00107,4.47265625,66.0,79.5,4.67
00108,3.38671875,81.5,77.5,4.5
00109,4.3984375,80.5,79.5,4.75
00110,3.701171875,48.5,46.75,4.2
00111,4.234375,65.0,77.5,4.5
00112,4.21875,64.5,79.5,4.87
00113,4.1484375,78.0,74.5,4.8
00114,4.46875,72.0,79.0,4.9
00115,4.4140625,79.5,80.0,4.95
00116,4.5546875,79.5,80.0,4.87
00117,4.08203125,81.0,80.0,4.67
00118,3.75390625,80.0,79.5,4.3
00119,4.31640625,52.25,79.0,4.8
00120,4.44140625,79.5,79.5,4.87
00121,3.73046875,81.5,79.5,4.67
00122,4.10546875,63.5,74.0,4.67
00123,4.546875,74.5,79.5,4.8
00124,4.51171875,74.0,80.0,4.8
00125,4.0390625,83.0,75.5,4.6
00126,4.40625,60.5,79.5,4.8
00127,4.4453125,59.5,80.0,4.7
00128,3.5,78.5,74.5,4.67
00129,4.08984375,75.5,79.5,4.38
00130,4.51171875,66.0,74.5,4.38
00131,3.75390625,37.75,42.0,4.2
00132,3.408203125,85.0,52.0,4.2
00133,4.52734375,80.0,79.5,4.8
00134,4.04296875,81.5,79.5,3.0
00135,3.904296875,80.5,80.0,4.7
00136,4.484375,79.5,79.5,4.67
00137,4.53515625,80.0,80.0,4.95
00138,4.55859375,79.5,80.5,4.87
00139,4.5859375,79.5,79.5,4.95
00140,3.03125,83.0,78.5,4.2
00141,4.2578125,81.0,79.5,4.8
00142,4.50390625,79.5,79.5,4.87
00143,3.3125,56.0,50.5,4.0
00144,4.5,53.0,80.0,4.75
00145,3.7265625,51.5,58.75,4.38
00146,4.51171875,49.5,79.5,4.95
00147,4.54296875,80.0,80.0,4.95
00148,4.5390625,69.5,79.5,4.87
00149,4.17578125,80.0,76.5,4.5
00150,3.794921875,78.0,70.5,4.3
00151,4.4765625,66.5,79.0,4.8
00152,4.53515625,80.5,80.0,4.9
00153,4.37890625,82.5,79.0,4.75
00154,3.755859375,80.5,79.5,4.8
00155,4.3828125,79.5,79.5,4.67
00156,3.7265625,79.5,77.0,4.8
00157,4.5,80.0,80.0,4.8
00158,4.21484375,82.0,79.0,4.8
00159,4.3203125,80.5,79.5,4.75
00160,3.685546875,70.5,65.5,4.5
00161,4.4140625,80.5,80.0,4.87
00162,4.4453125,80.0,79.5,4.8
00163,3.478515625,64.5,61.25,4.25
00164,3.978515625,79.5,79.0,4.2
00165,3.642578125,66.0,68.5,4.5
00166,3.732421875,79.5,76.5,4.8
00167,3.08984375,81.0,58.75,4.2
00168,4.125,84.5,80.0,4.67
00169,3.98828125,66.0,65.5,4.38
00170,4.5546875,62.5,79.5,4.9
00171,4.03125,81.0,78.5,4.8
00172,4.40234375,81.0,80.0,4.8
00173,3.00390625,41.75,44.75,4.0
00174,3.841796875,46.5,51.0,4.8
00175,4.28515625,86.0,80.5,4.8
00176,4.09375,80.0,78.5,4.3
00177,4.4296875,74.5,79.5,4.87
00178,4.59765625,80.0,80.0,4.87
00179,4.359375,69.5,79.5,4.8
00180,3.56640625,77.0,74.0,4.3
00181,4.13671875,35.5,46.0,4.67
00182,4.2109375,79.0,79.0,4.67
00183,3.896484375,74.5,70.0,4.3
00184,4.5546875,80.0,79.5,4.87
00185,4.37109375,75.0,77.5,4.67
00186,4.58203125,78.5,79.5,4.95
00187,3.525390625,81.5,65.0,4.2
00188,4.01953125,86.0,81.0,4.8
00189,4.35546875,80.5,80.0,4.87
00190,4.5078125,81.0,80.0,4.4
00191,3.908203125,82.5,64.5,4.3
00192,4.18359375,81.0,79.0,4.2
00193,4.31640625,81.5,75.0,4.5
00194,4.37109375,81.5,79.5,4.95
00195,4.4765625,80.5,80.0,4.75
00196,3.4453125,85.0,75.5,4.2
00197,4.29296875,80.5,79.5,4.5
00198,4.33203125,80.5,80.0,4.87
00199,4.18359375,82.0,70.5,4.3
00200,4.16015625,82.0,79.5,4.38
00201,3.982421875,82.5,80.0,4.8
00202,4.50390625,80.0,79.5,4.8
00203,3.919921875,81.5,72.5,4.38
00204,4.203125,80.0,79.5,4.8
00205,4.5078125,81.0,80.0,4.9
00206,3.76953125,77.0,69.5,4.5
00207,4.390625,79.5,80.0,4.8
00208,4.1796875,73.0,79.5,4.8
00209,3.978515625,80.0,74.0,4.5
00210,4.55859375,78.0,80.0,4.87
00211,4.48046875,80.0,79.5,4.8
00212,4.50390625,60.5,79.5,4.7
00213,4.375,79.5,79.0,4.67
00214,4.51171875,74.5,79.5,4.8
00215,4.390625,80.5,80.0,4.8
00216,3.919921875,85.5,78.5,4.38
00217,4.23828125,80.5,80.0,4.5
00218,4.3203125,70.0,78.5,4.3
00219,4.171875,75.5,79.0,4.0
00220,3.982421875,64.0,73.0,4.3
00221,4.125,80.0,79.0,4.67
00222,4.49609375,79.5,80.0,4.95
00223,4.51171875,66.5,79.0,4.9
00224,4.171875,80.5,77.0,4.5
00225,4.1484375,78.5,76.5,4.7
00226,4.16796875,69.0,79.5,4.3
00227,3.708984375,71.0,73.0,4.5
00228,4.31640625,59.5,76.5,4.87
