sample_id,deqa,unipercept_iaa,unipercept_iqa,vqr1
00000,3.009765625,59.25,46.25,3.5
00001,3.470703125,47.75,48.75,4.2
00002,4.51953125,53.25,75.0,4.8
00003,4.54296875,60.5,78.5,4.8
00004,4.16015625,58.5,65.5,4.38
00005,3.177734375,61.0,61.25,4.0
00006,2.46875,80.0,27.5,2.5
00007,3.376953125,59.0,66.0,3.8
00008,4.5625,74.5,79.0,4.9
00009,4.0390625,59.5,65.0,4.38
00010,3.91015625,83.0,75.0,4.5
00011,4.1875,78.5,70.5,4.5
00012,4.265625,71.0,65.0,4.7
00013,4.58203125,78.5,79.5,4.95
00014,3.791015625,63.5,65.0,4.38
00015,3.380859375,55.5,53.0,4.2
00016,3.361328125,57.0,56.5,4.2
00017,3.703125,37.75,43.25,4.0
00018,4.55859375,79.5,80.0,4.75
00019,4.45703125,72.0,79.0,4.8
00020,4.4609375,54.75,74.0,4.6
00021,3.619140625,39.25,43.0,4.3
00022,4.54296875,79.0,79.5,4.8
00023,4.4921875,63.0,74.0,4.8
00024,4.53515625,56.25,79.0,4.8
00025,2.771484375,47.0,42.5,2.5
00026,4.16796875,80.0,76.0,4.0
00027,4.23828125,57.0,74.0,4.5
00028,4.37890625,47.75,65.5,4.8
00029,4.07421875,57.75,61.0,4.25
00030,3.294921875,34.25,44.0,4.0
00031,3.203125,59.5,61.25,4.6
00032,3.2734375,47.25,45.75,4.2
00033,3.23828125,64.0,62.75,4.3
00034,4.16015625,62.25,65.5,4.8
00035,4.42578125,58.5,77.0,4.3
00036,4.47265625,73.5,79.0,4.8
00037,3.890625,59.5,61.0,4.5
00038,4.09765625,60.0,65.0,4.3
00039,3.634765625,82.5,62.75,4.2
00040,3.91015625,66.0,76.0,4.5
00041,4.10546875,80.5,65.0,4.4
00042,3.53125,52.0,57.25,4.3
00043,3.271484375,85.5,49.5,4.0
00044,3.046875,57.5,45.75,3.7
00045,4.046875,52.0,74.5,4.6
00046,3.87890625,83.5,70.0,4.5
00047,4.53515625,61.25,78.5,4.9
00048,3.927734375,73.5,67.0,4.67
00049,4.359375,63.5,75.0,4.75
00050,1.8740234375,64.5,28.625,2.8
00051,4.28125,56.5,60.75,4.2
00052,3.89453125,58.75,67.0,4.2
00053,4.51171875,42.0,78.5,4.38
00054,2.6171875,84.5,50.25,2.8
00055,4.2578125,53.5,72.0,4.75
00056,4.41796875,51.25,64.0,4.38
00057,4.07421875,71.0,59.75,3.7
00058,3.34375,21.375,38.25,3.8
00059,4.37890625,58.25,65.0,4.8
00060,4.3125,75.0,79.0,4.2
00061,4.33984375,54.5,74.0,4.7
00062,3.4375,39.0,41.25,4.5
00063,3.43359375,51.0,51.25,2.8
00064,3.970703125,75.5,77.5,4.38
00065,3.166015625,58.5,61.25,3.5
00066,3.41796875,57.5,52.0,4.2
00067,4.01171875,62.0,65.5,4.8
00068,3.69921875,75.5,66.0,4.3
00069,4.01171875,53.5,65.0,4.5
00070,4.3359375,52.5,63.75,4.38
00071,2.357421875,51.5,49.5,3.2
00072,4.484375,79.5,80.0,4.8
00073,4.12890625,81.0,74.5,4.3
00074,4.09375,81.0,74.0,4.7
