sample_id,deqa,unipercept_iaa,unipercept_iqa,vqr1
00000,3.904296875,77.5,64.5,4.38
00001,4.125,79.0,79.5,4.67
00002,4.453125,80.5,80.0,4.9
00003,4.453125,54.5,79.0,4.8
00004,3.490234375,83.5,74.0,4.3
00005,3.287109375,74.5,71.5,3.8
00006,3.400390625,74.5,62.75,3.8
00007,4.09375,80.0,79.5,4.67
00008,4.56640625,80.0,80.0,4.87
00009,4.6015625,81.5,80.0,4.95
00010,4.203125,81.5,80.0,4.6
00011,4.36328125,80.0,79.0,4.7
00012,4.296875,80.5,79.0,4.75
00013,4.45703125,79.5,79.5,4.8
00014,2.837890625,85.0,63.0,4.2
00015,3.626953125,82.0,74.5,4.75
00016,4.171875,81.0,74.5,4.67
00017,3.466796875,52.25,45.0,3.8
00018,4.59765625,80.5,80.0,4.9
00019,4.52734375,79.5,79.5,4.95
00020,4.6015625,66.5,80.0,4.9
00021,4.40625,62.5,78.5,4.6
00022,4.4765625,80.5,79.5,4.87
00023,4.51171875,67.0,79.0,4.8
00024,4.43359375,79.0,79.5,4.8
00025,4.47265625,79.0,79.0,4.67
00026,4.359375,74.5,77.5,4.67
00027,4.38671875,64.0,79.0,4.8
00028,4.52734375,80.0,80.0,4.95
00029,4.4375,60.0,79.0,4.75
00030,3.173828125,85.0,76.5,4.5
00031,4.421875,62.25,78.5,4.8
00032,4.12109375,85.5,80.0,4.8
00033,4.03125,82.5,80.0,4.8
00034,4.015625,81.0,80.0,4.8
00035,3.244140625,80.0,79.0,4.8
00036,4.6171875,81.0,80.0,4.95
00037,3.51953125,82.0,79.5,4.7
00038,3.775390625,79.0,74.0,4.7
00039,4.16015625,84.5,80.0,4.75
00040,3.67578125,83.5,79.0,4.25
00041,4.3828125,84.0,79.5,4.8
00042,4.4609375,80.0,79.0,4.75
00043,4.05078125,85.0,75.5,4.3
00044,4.44921875,80.5,79.5,4.7
00045,4.2578125,84.5,79.5,4.8
00046,4.53515625,79.5,79.5,4.95
00047,4.5859375,73.5,79.5,4.95
00048,3.888671875,84.5,79.0,4.5
00049,4.4765625,62.25,74.0,4.7
00050,3.994140625,84.0,64.5,4.38
00051,4.16015625,80.5,75.0,4.6
00052,4.2265625,65.0,79.0,4.8
00053,4.5,49.75,79.5,4.67
00054,2.87109375,80.5,62.25,3.5
00055,4.34765625,63.0,79.0,4.5
00056,4.39453125,67.0,79.0,4.5
00057,4.24609375,82.0,74.0,4.3
00058,3.876953125,57.25,74.0,4.5
00059,4.4609375,74.5,77.5,4.8
00060,4.34765625,74.5,79.5,4.5
00061,4.4453125,67.0,79.0,4.87
00062,3.984375,59.75,63.75,4.75
00063,3.904296875,80.5,79.0,3.8
00064,4.40234375,69.0,78.0,4.8
00065,3.921875,81.0,80.0,4.2
00066,3.80859375,83.0,79.5,4.3
00067,4.25390625,66.0,71.5,4.87
00068,4.13671875,78.5,74.5,4.5
00069,4.1796875,73.5,79.5,4.7
00070,4.49609375,61.0,79.5,4.9
00071,2.83984375,53.5,38.75,3.8
00072,4.53125,80.0,80.0,4.8
00073,4.46875,81.0,79.5,4.8
00074,4.31640625,86.0,80.0,4.8
00075,2.9765625,85.5,80.5,4.3
00076,4.3203125,84.5,80.0,4.87
00077,3.419921875,86.0,42.0,4.0
00078,4.45703125,80.0,80.0,4.9
00079,4.44140625,81.5,80.0,4.67
00080,4.0859375,80.5,78.5,4.7
00081,4.5390625,68.0,79.5,4.8
00082,2.94140625,79.0,58.0,4.2
00083,3.853515625,83.5,70.0,4.0
00084,4.125,83.5,80.5,4.8
00085,4.23828125,80.5,79.5,4.87
00086,3.576171875,75.5,70.5,4.3
00087,4.24609375,79.5,79.0,4.6
00088,3.888671875,81.5,80.0,4.67
00089,4.24609375,81.0,80.0,4.8
00090,4.53515625,74.5,79.0,4.8
00091,3.806640625,82.5,73.0,4.3
00092,4.44140625,79.5,79.5,4.8
00093,4.19921875,75.0,79.5,4.75
00094,3.998046875,75.0,74.5,4.7
00095,4.44921875,80.0,79.5,4.5
00096,4.39453125,79.5,80.0,4.87
00097,4.171875,79.5,79.5,4.67
00098,3.9765625,80.5,78.0,4.8
00099,4.52734375,80.5,79.5,4.8
00100,4.4453125,80.0,79.5,4.75
00101,3.84765625,84.5,78.0,4.2
00102,4.38671875,80.0,79.5,4.87
00103,3.86328125,85.5,59.25,4.2
00104,4.1171875,83.5,78.5,4.75
00105,4.30078125,74.5,78.5,4.8
00106,4.16015625,79.0,79.5,4.6
00107,4.53515625,63.0,80.0,4.6
00108,3.994140625,81.0,78.5,4.7
00109,4.390625,79.0,79.5,4.8
00110,4.11328125,81.5,76.5,4.0
00111,4.24609375,69.0,78.0,4.5
00112,4.390625,77.5,79.5,4.8
00113,3.9921875,81.0,74.0,4.8
00114,4.453125,75.5,79.5,4.9
00115,4.40234375,64.5,79.5,4.9
00116,4.47265625,76.0,79.5,4.67
00117,3.947265625,81.0,80.0,4.6
00118,3.833984375,77.0,73.0,4.38
00119,4.515625,59.25,75.5,4.9
00120,4.49609375,80.0,80.0,4.8
00121,4.35546875,78.0,79.5,4.8
00122,4.0859375,82.5,74.5,4.67
00123,4.48046875,80.0,79.5,4.8
00124,4.34765625,63.25,78.5,4.67
00125,4.1015625,80.5,79.5,4.75
00126,4.5078125,73.5,79.5,4.9
00127,4.4765625,65.0,80.0,4.9
00128,3.44140625,80.0,74.0,4.6
00129,4.515625,78.0,79.5,4.75
00130,4.5546875,76.0,79.5,4.5
00131,4.21484375,79.5,74.0,4.67
00132,3.388671875,85.5,46.5,3.5
00133,4.48046875,80.5,79.5,4.95
00134,4.48828125,80.5,79.5,4.8
00135,3.591796875,81.0,79.5,4.7
00136,4.49609375,79.0,79.5,4.8
00137,4.48828125,79.5,80.0,4.87
00138,4.5,79.5,80.0,4.9
00139,4.5234375,79.5,79.5,4.95
00140,3.53515625,82.5,80.0,4.6
00141,3.857421875,83.0,77.5,4.7
00142,4.53125,79.0,79.5,4.8
00143,4.01953125,83.0,80.5,4.8
00144,4.5234375,73.0,80.0,4.8
00145,3.94921875,80.5,75.0,4.6
00146,4.58984375,60.0,79.5,4.9
00147,4.54296875,79.5,80.0,4.95
00148,4.546875,70.0,79.5,4.87
00149,4.34375,79.5,77.0,4.5
00150,3.587890625,83.5,79.5,4.38
00151,4.5625,70.5,79.5,4.8
00152,4.36328125,81.0,80.0,4.9
00153,3.798828125,61.25,60.0,4.3
00154,3.576171875,82.5,80.5,4.7
00155,4.49609375,80.0,79.5,4.8
00156,3.654296875,84.5,79.0,4.5
00157,4.49609375,79.5,80.0,4.8
00158,4.22265625,80.0,79.5,4.5
00159,4.44140625,80.0,80.0,4.87
00160,3.904296875,85.5,78.5,4.5
00161,4.515625,67.5,74.5,4.9
00162,4.51953125,79.0,79.5,4.87
00163,4.16796875,62.5,74.5,4.7
00164,4.40234375,80.0,79.0,4.38
00165,2.619140625,83.5,62.75,3.8
00166,3.978515625,81.0,79.5,4.8
00167,3.814453125,83.0,77.0,4.8
00168,3.515625,78.0,79.5,4.3
00169,3.537109375,74.5,62.25,4.2
00170,4.53125,74.5,80.0,4.8
00171,4.04296875,80.0,76.5,4.67
00172,4.5703125,80.5,80.0,4.87
00173,3.0234375,84.5,59.5,4.0
00174,3.74609375,80.0,79.0,4.6
00175,4.109375,86.0,80.0,4.8
00176,4.3359375,80.5,80.0,4.8
00177,4.25390625,74.5,79.5,4.7
00178,4.45703125,78.0,79.0,4.8
00179,4.390625,78.5,79.5,4.8
00180,3.701171875,81.0,75.5,4.2
00181,4.12109375,65.0,74.0,4.6
00182,4.15625,61.25,74.5,4.8
00183,4.3515625,81.0,80.0,4.87
00184,3.853515625,75.5,78.5,4.2
00185,4.375,76.0,79.5,4.8
00186,4.58203125,78.5,79.5,4.95
00187,3.75,85.5,81.0,4.38
00188,4.05859375,86.0,80.5,4.8
00189,3.923828125,77.0,79.0,4.67
00190,4.5390625,79.5,80.0,4.8
00191,3.83984375,86.0,60.5,4.0
00192,4.37890625,79.0,78.0,4.38
00193,4.39453125,80.5,78.0,4.67
00194,4.31640625,82.0,79.5,4.7
00195,4.51171875,80.0,80.0,4.8
00196,3.642578125,85.0,72.5,4.2
00197,4.28125,80.5,76.5,4.38
00198,4.35546875,82.0,80.0,4.9
00199,4.1796875,82.0,72.5,4.2
00200,3.95703125,84.5,81.0,4.5
00201,4.421875,64.5,79.5,4.67
00202,4.3359375,82.0,74.5,4.6
00203,3.900390625,82.0,78.5,4.5
00204,3.921875,81.0,79.5,4.8
00205,4.453125,80.0,80.0,4.9
00206,3.654296875,80.5,75.5,4.7
00207,4.43359375,75.5,79.5,4.8
00208,4.109375,68.0,77.5,4.3
00209,3.958984375,77.0,74.5,4.8
00210,4.54296875,77.5,79.5,4.9
00211,4.453125,79.5,79.5,4.8
00212,4.4140625,59.25,79.0,4.5
00213,4.33984375,79.5,79.0,4.8
00214,4.48828125,70.0,79.5,4.87
00215,4.421875,65.0,76.0,4.8
00216,3.5,76.0,74.5,4.2
00217,3.853515625,77.5,78.5,4.6
00218,4.3515625,81.0,80.0,4.5
00219,3.845703125,55.25,59.5,4.67
00220,4.125,77.0,79.0,4.8
00221,4.2890625,78.0,74.0,4.8
00222,4.5390625,78.5,80.0,4.87
00223,4.51953125,78.5,80.0,4.9
00224,4.19921875,82.5,80.0,4.8
00225,4.40625,78.5,79.5,4.8
00226,4.4140625,75.0,79.5,4.8
00227,3.767578125,74.5,73.5,4.67
00228,4.34375,66.0,79.5,4.8
00229,4.5546875,80.5,80.0,4.87
00230,4.54296875,80.5,80.0,4.95
00231,4.2109375,82.5,80.0,4.8
00232,3.826171875,57.25,69.0,4.6
00233,3.99609375,85.0,79.5,4.67
00234,3.869140625,83.0,80.0,4.67
00235,4.5078125,80.5,79.5,4.87
00236,4.36328125,79.5,79.5,4.67
00237,4.34375,72.0,79.5,4.67
00238,3.818359375,82.0,66.0,3.8
00239,4.05859375,75.0,77.5,4.8
00240,4.4375,76.5,80.0,4.5
00241,3.716796875,82.5,69.0,4.7
00242,4.47265625,79.5,80.0,4.8
00243,3.330078125,62.5,65.0,4.3
00244,3.029296875,83.0,67.5,4.5
00245,4.31640625,80.5,79.5,4.7
00246,4.38671875,80.0,79.5,4.8
00247,4.23828125,73.0,70.0,4.6
00248,3.412109375,62.25,64.0,4.25
00249,4.44140625,75.5,80.0,4.8
00250,2.640625,83.0,77.5,3.5
00251,3.9609375,82.0,73.0,4.7
00252,4.5390625,82.0,79.5,4.9
00253,4.3359375,81.5,78.5,4.8
00254,3.55078125,83.0,76.5,4.3
00255,4.265625,86.0,81.0,4.8
00256,4.390625,80.0,79.5,4.5
00257,4.4609375,75.0,80.0,4.9
00258,3.7421875,80.5,69.0,4.3
00259,4.55859375,77.5,80.0,4.95
00260,3.509765625,81.0,77.0,4.5
00261,4.4140625,83.0,77.0,4.7
00262,4.43359375,82.5,79.5,4.9
00263,4.18359375,74.5,74.5,4.5
00264,3.587890625,82.0,65.0,4.3
00265,4.0234375,85.5,75.0,4.6
00266,4.1015625,85.0,78.0,4.5
00267,2.703125,85.5,56.25,3.8
00268,4.3671875,57.0,79.0,4.7
00269,4.08984375,73.0,68.5,4.6
00270,4.3515625,82.5,79.5,4.8
00271,3.98046875,79.5,79.5,4.8
00272,3.9140625,65.5,60.25,4.2
00273,4.08984375,81.0,79.5,4.38
00274,3.177734375,83.0,57.75,3.8
00275,3.494140625,82.5,80.0,4.5
00276,4.11328125,59.25,74.5,4.6
00277,3.478515625,55.75,53.0,3.5
00278,4.46875,60.25,79.5,4.87
00279,4.4296875,80.5,80.0,4.95
00280,4.30859375,79.0,78.5,4.0
00281,4.5390625,74.5,79.5,4.8
00282,4.484375,79.0,79.5,4.8
00283,4.44140625,80.0,79.5,4.95
00284,4.34375,63.75,79.0,4.8
00285,3.939453125,81.0,79.5,4.6
00286,4.42578125,83.0,80.5,4.9
00287,4.39453125,77.0,79.5,4.8
00288,4.5859375,54.5,80.0,4.95
00289,4.30078125,77.5,80.0,4.67
00290,3.87890625,81.5,76.5,4.5
00291,4.53515625,78.5,80.0,4.8
00292,4.08203125,65.0,69.5,4.2
00293,3.15234375,83.5,75.5,4.5
00294,3.619140625,80.0,73.5,4.5
00295,4.1953125,75.5,79.0,4.8
00296,4.1953125,50.25,78.0,4.6
00297,4.18359375,80.0,79.5,4.7
00298,4.46484375,83.0,80.0,4.67
00299,4.4921875,81.5,80.0,4.9
00300,4.1953125,80.0,74.0,4.67
00301,4.5078125,81.0,80.0,4.8
00302,4.5078125,75.5,79.5,4.9
00303,4.17578125,73.5,78.0,4.9
00304,3.8359375,82.5,73.5,4.7
