sample_id,deqa,unipercept_iaa,unipercept_iqa,vqr1
00000,3.31640625,62.0,57.0,4.0
00001,3.484375,67.0,72.5,4.5
00002,3.873046875,59.25,69.5,4.8
00003,4.2265625,57.5,67.0,4.8
00004,3.08203125,72.5,64.5,3.7
00005,3.06640625,81.0,45.25,3.0
00006,3.205078125,51.75,50.0,3.5
00007,2.640625,59.25,64.5,4.0
00008,4.3828125,72.0,74.5,4.67
00009,4.14453125,78.5,79.5,4.9
00010,3.982421875,80.5,77.0,4.2
00011,4.08984375,64.0,65.0,4.3
00012,2.767578125,61.0,58.5,2.0
00013,3.875,77.0,78.0,4.67
00014,2.609375,65.5,54.5,3.7
00015,3.345703125,81.5,63.75,4.3
00016,3.046875,85.5,55.5,4.0
00017,2.708984375,52.5,44.25,3.8
00018,4.66796875,78.5,79.5,4.9
00019,4.51953125,74.5,79.5,4.9
00020,4.59375,60.75,78.5,4.9
00021,3.72265625,56.25,62.0,4.3
00022,3.82421875,63.75,71.5,4.75
00023,4.4921875,62.75,74.0,4.8
00024,4.2109375,59.0,66.0,4.5
00025,3.03515625,61.5,58.25,3.2
00026,4.21875,57.75,65.0,4.5
00027,4.38671875,63.25,75.0,4.8
00028,4.484375,63.5,74.0,4.95
00029,4.31640625,56.0,61.25,4.5
00030,2.833984375,63.25,58.25,3.5
00031,4.15625,58.25,72.0,4.8
00032,3.51171875,82.5,79.5,4.6
00033,3.19140625,81.5,76.5,4.5
00034,3.603515625,72.5,72.5,4.67
00035,3.240234375,75.5,74.5,4.5
00036,4.515625,76.0,79.5,4.9
00037,2.947265625,68.5,62.75,4.5
00038,3.78125,69.5,69.5,4.5
00039,2.609375,81.5,65.5,4.2
00040,2.6875,77.5,74.0,4.3
00041,4.12109375,82.0,65.0,4.5
00042,3.580078125,56.5,62.0,4.38
00043,3.841796875,85.5,74.5,4.0
00044,4.3046875,80.0,78.5,4.7
00045,2.802734375,60.75,58.5,4.0
00046,4.53125,80.0,79.5,4.95
00047,4.6171875,64.5,78.0,4.87
00048,2.939453125,58.25,49.25,3.0
00049,4.28515625,56.0,64.5,4.25
00050,2.92578125,84.5,51.75,3.8
00051,2.81640625,71.0,60.0,4.2
00052,4.1796875,57.75,69.5,4.4
00053,4.52734375,45.25,79.0,4.6
00054,2.2265625,81.5,48.75,2.0
00055,4.265625,55.0,69.5,4.7
00056,4.3828125,59.75,73.5,4.67
00057,4.02734375,75.0,63.0,3.8
00058,2.91796875,36.75,44.75,4.0
00059,4.03125,57.5,65.0,4.5
00060,4.2265625,65.0,74.0,4.38
00061,4.3984375,63.25,77.5,4.7
00062,3.76953125,54.0,51.5,4.3
00063,2.91015625,67.0,64.0,2.8
00064,4.06640625,65.5,67.5,4.67
00065,3.447265625,70.0,74.0,3.7
00066,2.80078125,45.5,43.0,4.0
00067,4.25390625,34.0,39.5,4.8
00068,3.8515625,63.75,65.5,4.3
00069,3.806640625,51.5,59.0,4.67
00070,4.54296875,58.5,74.0,4.9
00071,1.8056640625,49.25,23.5,2.0
00072,4.55078125,80.5,80.0,4.7
00073,4.3828125,80.0,79.5,4.8
00074,3.9609375,80.0,75.0,4.6
00075,2.11328125,85.5,37.0,2.5
00076,4.0859375,80.0,76.5,4.8
00077,3.01171875,85.5,40.5,3.5
00078,4.29296875,73.5,79.5,4.9
00079,3.671875,80.5,79.0,4.5
00080,3.529296875,76.0,74.5,4.5
00081,4.52734375,62.25,71.5,4.5
00082,2.97265625,65.0,48.75,4.0
00083,3.39453125,80.5,59.0,3.5
00084,3.94140625,85.5,79.5,4.8
00085,4.37109375,79.0,77.0,4.8
00086,2.625,53.5,50.75,3.5
00087,3.5859375,60.0,59.0,3.2
00088,3.4375,80.5,77.0,4.67
00089,3.552734375,79.0,64.0,4.3
00090,4.5,57.75,69.5,4.8
00091,2.623046875,77.0,44.5,2.0
00092,4.38671875,76.5,79.0,4.5
00093,4.03515625,58.75,73.5,4.67
00094,3.498046875,66.0,69.5,4.5
00095,4.3359375,67.5,74.5,4.7
00096,4.0703125,64.0,78.5,4.8
00097,3.81640625,79.5,79.0,4.3
00098,3.81640625,76.5,67.0,4.5
00099,4.36328125,59.0,74.0,4.5
00100,4.375,80.0,79.5,4.7
00101,3.58203125,75.5,62.75,4.0
00102,4.09375,68.5,77.0,4.5
00103,3.875,85.5,58.25,4.2
00104,3.224609375,74.5,63.0,4.0
00105,4.296875,59.0,65.0,4.7
00106,3.341796875,43.5,61.0,3.8
00107,4.6015625,62.5,79.5,4.67
00108,3.263671875,58.0,57.5,4.0
00109,4.28125,58.75,71.5,4.8
00110,2.7421875,82.5,52.5,3.2
00111,3.9375,59.75,69.5,4.3
00112,4.31640625,67.0,79.5,4.9
00113,3.83203125,64.5,64.5,4.7
00114,4.37109375,66.0,79.0,4.9
00115,4.39453125,57.75,68.0,4.8
00116,4.3046875,60.0,74.0,4.7
00117,2.609375,77.0,76.0,4.3
00118,3.56640625,72.0,63.25,4.3
00119,4.54296875,54.0,67.0,4.87
00120,4.484375,67.0,79.5,4.8
00121,4.25390625,69.5,76.0,4.75
00122,3.2578125,52.5,52.5,4.3
00123,3.98046875,80.0,73.0,4.25
00124,3.818359375,64.0,74.0,4.3
00125,4.01953125,79.5,79.5,4.67
00126,4.58203125,67.0,79.5,4.9
00127,4.515625,62.25,80.0,4.9
00128,3.107421875,74.5,64.0,4.2
00129,4.203125,62.5,66.0,4.5
00130,4.453125,58.5,65.0,4.3
00131,3.783203125,59.5,59.5,4.5
00132,3.23828125,80.5,61.5,3.5
00133,3.703125,80.0,78.5,4.6
00134,3.96875,62.5,69.0,4.7
00135,2.7265625,80.0,78.5,4.67
00136,4.46484375,71.5,78.5,4.67
00137,4.5,71.5,80.0,4.7
00138,4.43359375,74.0,79.0,4.8
00139,4.265625,61.25,73.0,4.8
00140,3.419921875,80.5,75.5,4.6
00141,2.22265625,68.0,47.0,4.0
00142,4.47265625,75.0,79.0,4.67
00143,3.107421875,62.0,60.25,3.8
00144,4.421875,56.25,75.5,4.6
00145,3.14453125,59.75,51.25,4.0
00146,4.609375,58.25,79.5,4.95
00147,4.5546875,65.5,79.5,4.9
00148,4.56640625,63.5,79.5,4.8
00149,3.826171875,65.5,65.0,4.2
00150,2.076171875,73.5,55.25,3.5
00151,4.5078125,63.0,74.5,4.87
00152,3.6875,74.5,78.0,4.7
00153,2.705078125,52.25,47.25,3.8
00154,2.353515625,80.5,62.75,4.2
00155,4.16796875,78.5,76.5,4.5
00156,2.435546875,78.5,58.75,4.0
00157,4.51953125,62.0,74.5,4.8
00158,3.951171875,76.0,74.0,4.5
00159,3.837890625,76.5,78.0,4.8
00160,2.79296875,56.25,50.0,4.0
00161,4.10546875,58.25,61.75,4.8
00162,4.4921875,75.0,79.0,4.87
00163,3.98046875,53.5,58.25,4.7
00164,3.958984375,61.25,65.0,4.0
00165,2.404296875,79.0,57.5,2.8
00166,3.69140625,59.25,58.75,4.5
00167,3.5625,77.5,61.25,4.2
00168,3.126953125,58.75,61.75,3.8
00169,3.119140625,62.0,51.25,4.2
00170,4.43359375,59.25,74.0,4.67
00171,3.111328125,67.0,64.5,3.8
00172,4.546875,66.0,76.5,4.8
00173,2.607421875,82.0,50.5,3.0
00174,3.607421875,71.5,68.0,4.3
00175,3.994140625,85.5,80.0,4.7
00176,4.1328125,80.5,76.5,4.8
00177,4.046875,60.25,71.0,4.5
00178,3.833984375,57.75,72.0,4.6
00179,4.41015625,70.5,78.0,4.75
00180,3.15625,78.0,61.5,3.7
00181,3.5390625,37.5,45.75,4.3
00182,3.6953125,52.75,58.75,4.5
00183,3.138671875,55.0,56.0,4.6
00184,2.404296875,61.25,58.5,3.8
00185,4.0,58.25,69.5,4.6
00186,4.48828125,76.0,75.5,4.9
00187,3.11328125,67.0,59.25,2.5
00188,3.650390625,68.0,71.5,4.6
00189,2.685546875,62.75,65.0,4.0
00190,4.515625,77.5,79.0,4.9
00191,2.828125,50.5,42.5,3.5
00192,4.1484375,73.0,64.5,4.2
00193,4.3125,73.5,63.5,4.5
00194,3.23046875,59.0,58.0,4.3
00195,4.0546875,74.5,72.0,4.3
00196,2.638671875,85.0,43.75,3.8
00197,4.05859375,75.0,65.0,4.5
00198,4.15234375,80.0,79.5,4.8
00199,3.880859375,83.0,61.5,4.2
00200,3.236328125,78.5,74.5,4.0
00201,3.212890625,75.5,65.0,3.8
00202,4.13671875,81.5,66.5,4.6
00203,3.830078125,81.0,72.0,4.2
