sample_id,deqa,unipercept_iaa,unipercept_iqa,vqr1
00000,3.5234375,81.0,58.5,4.38
00001,4.078125,74.0,75.5,4.8
00002,4.1015625,73.5,79.5,4.6
00003,4.453125,62.0,79.5,4.87
00004,3.451171875,64.0,72.0,4.3
00005,3.8828125,66.5,66.0,4.2
00006,2.818359375,61.25,49.0,3.2
00007,3.837890625,79.0,78.5,4.8
00008,4.51171875,68.5,78.5,4.8
00009,4.5859375,81.0,80.0,4.87
00010,3.56640625,84.0,73.5,4.38
00011,4.375,79.0,79.0,4.5
00012,4.21484375,80.5,78.0,4.7
00013,4.50390625,80.0,79.5,4.8
00014,3.669921875,72.5,79.5,4.6
00015,3.794921875,82.5,80.0,4.8
00016,3.947265625,75.5,70.5,4.38
00017,3.765625,50.5,49.75,4.5
00018,4.55078125,80.0,80.0,4.95
00019,4.46484375,75.0,79.5,4.95
00020,4.25390625,61.0,69.0,4.67
00021,4.22265625,60.75,71.5,4.6
00022,4.42578125,80.0,79.5,4.8
00023,4.484375,72.0,79.0,4.95
00024,4.33203125,74.0,74.0,4.7
00025,3.701171875,70.0,64.5,4.2
00026,4.3359375,78.0,76.5,4.67
00027,4.203125,79.0,74.5,4.7
00028,4.51953125,80.0,80.0,4.95
00029,4.37109375,64.0,79.0,4.75
00030,3.318359375,56.75,55.75,4.2
00031,3.56640625,75.5,72.0,4.5
00032,4.078125,79.0,75.0,4.6
00033,3.521484375,64.5,65.0,4.6
00034,3.998046875,59.75,65.0,4.8
00035,3.72265625,78.0,79.5,4.7
00036,4.515625,79.5,79.5,4.8
00037,4.05078125,71.0,67.5,4.38
00038,4.45703125,78.5,79.5,4.8
00039,4.359375,82.5,80.0,4.75
00040,4.265625,82.0,74.0,4.6
00041,4.3359375,85.0,79.5,4.67
00042,4.51171875,82.0,79.5,4.5
00043,3.0078125,84.5,47.5,3.8
00044,4.23046875,74.5,74.5,4.5
00045,3.810546875,85.5,70.0,4.3
00046,3.814453125,84.0,74.0,4.6
00047,4.578125,79.0,79.5,4.8
00048,4.25390625,77.5,74.5,4.6
00049,4.62890625,78.5,79.5,4.67
00050,2.75,79.0,44.25,3.5
00051,4.1015625,74.5,70.0,4.67
00052,4.26171875,67.0,74.0,4.6
00053,4.57421875,52.0,77.5,4.87
00054,3.271484375,82.5,50.25,3.8
00055,4.30078125,74.0,79.5,4.8
00056,4.421875,71.0,76.0,4.3
00057,4.08984375,81.0,62.0,4.0
00058,2.958984375,64.0,63.75,3.8
00059,4.40234375,81.0,79.5,4.67
00060,4.3046875,76.0,79.0,4.5
00061,4.2890625,59.5,79.0,4.87
00062,3.890625,65.0,65.0,4.5
00063,3.900390625,53.5,54.0,2.0
00064,4.30859375,67.0,74.5,4.7
00065,3.814453125,78.5,73.5,4.25
00066,3.109375,62.5,54.75,3.5
00067,4.1953125,64.0,65.5,4.8
00068,3.751953125,77.0,65.0,4.5
00069,4.19140625,61.5,79.0,4.5
00070,4.4140625,80.5,79.0,4.95
00071,3.236328125,57.25,37.25,2.5
00072,4.51171875,79.0,80.0,4.95
00073,4.16796875,83.5,73.5,4.38
00074,4.38671875,85.0,80.0,4.8
00075,3.60546875,82.0,75.5,4.5
00076,4.30859375,74.5,77.5,4.8
00077,3.20703125,86.0,43.25,4.0
00078,4.5234375,80.0,80.0,4.9
00079,4.3828125,82.5,79.0,4.38
00080,4.0,64.0,64.5,4.2
00081,4.1484375,60.25,69.0,4.5
00082,2.9765625,85.0,44.75,3.8
00083,4.375,80.0,77.5,4.67
00084,3.607421875,79.0,59.75,4.38
00085,4.0390625,78.0,74.0,4.7
00086,3.337890625,38.0,38.5,3.8
00087,3.54296875,86.0,51.5,3.0
00088,3.240234375,81.0,74.0,4.5
00089,4.33203125,80.5,79.5,4.8
00090,4.55859375,77.0,80.0,4.95
00091,3.28515625,63.5,65.0,4.0
00092,4.40234375,79.5,79.5,4.75
00093,4.28515625,72.5,73.5,4.6
00094,3.7265625,48.25,46.5,4.0
00095,4.359375,79.5,79.5,4.5
00096,4.484375,80.5,79.5,4.87
00097,4.1875,80.5,79.5,4.5
00098,3.80859375,80.5,77.5,4.5
00099,4.58203125,76.5,78.5,4.6
00100,4.19140625,80.5,74.0,4.2
00101,3.931640625,85.5,72.0,4.0
00102,4.41796875,61.75,79.0,4.8
00103,3.748046875,86.0,54.0,4.0
00104,2.927734375,79.0,67.5,3.8
00105,3.9921875,55.5,65.0,4.3
00106,4.453125,80.0,79.5,4.5
00107,4.44921875,62.75,78.5,4.75
00108,3.220703125,52.0,53.0,4.5
00109,4.33203125,65.0,74.5,4.5
00110,4.0234375,66.0,66.0,4.2
00111,3.91796875,65.0,70.0,4.2
00112,4.390625,61.75,78.5,4.95
00113,4.0859375,79.5,69.5,4.7
00114,4.42578125,72.5,79.0,4.95
00115,4.35546875,66.5,75.5,4.9
00116,4.46875,80.0,79.5,4.8
00117,4.19140625,72.5,75.0,4.0
00118,3.92578125,79.5,75.0,4.3
00119,4.484375,52.25,73.0,4.7
00120,4.3359375,80.0,79.5,4.67
00121,3.630859375,81.0,70.0,4.2
00122,2.974609375,85.0,44.0,3.5
00123,4.26953125,53.5,78.5,4.5
00124,4.41015625,55.25,79.0,4.67
00125,4.16796875,83.0,74.5,4.5
00126,4.34765625,61.25,74.0,4.75
00127,4.22265625,73.5,79.5,4.7
00128,3.119140625,67.5,59.5,4.0
00129,4.30859375,80.5,76.0,4.2
00130,4.3359375,78.5,75.5,4.3
00131,2.8515625,61.25,58.0,2.8
00132,2.40234375,56.5,47.75,2.5
00133,4.515625,80.0,79.5,4.8
00134,4.40625,73.5,74.0,4.7
00135,3.787109375,81.5,80.0,4.7
00136,4.40625,79.5,79.5,4.7
00137,4.50390625,72.0,79.5,4.8
00138,4.5234375,77.5,80.0,4.9
00139,4.5,80.5,80.0,4.8
00140,3.66796875,82.0,76.5,4.5
00141,3.74609375,83.0,72.0,4.5
00142,4.52734375,76.0,79.0,4.9
00143,4.20703125,80.5,79.5,4.3
00144,3.6640625,52.25,65.0,4.3
00145,3.85546875,45.75,46.0,4.3
00146,4.3671875,36.5,77.5,4.8
00147,4.5546875,79.0,79.5,4.95
00148,4.5703125,77.5,80.0,4.9
00149,4.33984375,80.5,75.5,4.75
00150,3.173828125,68.0,61.25,4.0
00151,4.28515625,60.25,70.0,4.38
00152,4.0,75.5,74.0,4.5
00153,3.603515625,49.75,57.25,3.2
00154,4.09375,81.0,78.0,4.5
00155,4.375,80.5,79.5,4.3
00156,3.400390625,78.0,65.5,4.3
00157,4.52734375,76.5,79.5,4.8
00158,4.1328125,79.5,78.0,4.3
00159,4.296875,76.0,79.5,4.7
00160,3.0703125,57.75,53.5,4.0
00161,4.46484375,68.5,74.5,4.8
00162,4.47265625,76.0,79.5,4.8
00163,3.87890625,81.0,71.0,4.5
00164,4.1328125,77.5,70.5,4.5
00165,3.22265625,54.5,57.5,4.2
00166,3.880859375,56.5,58.25,4.7
00167,4.36328125,80.0,79.0,4.8
00168,2.689453125,83.5,47.0,3.5
00169,3.994140625,65.5,65.0,4.38
00170,4.453125,66.0,78.0,4.87
00171,4.25390625,78.5,76.5,4.8
00172,4.5,80.0,80.0,4.8
00173,3.236328125,59.75,59.5,4.0
00174,3.787109375,60.5,60.25,4.0
00175,4.03125,83.5,74.5,4.5
00176,4.4375,80.0,79.5,4.87
00177,2.98046875,84.0,45.5,4.38
00178,4.41796875,80.0,80.0,4.5
00179,3.896484375,62.0,71.5,4.3
00180,3.794921875,58.75,49.25,4.3
00181,4.078125,57.0,62.25,4.6
00182,3.25390625,62.75,47.25,4.0
00183,2.5,52.75,49.75,3.8
00184,4.24609375,79.0,78.0,4.5
00185,4.37109375,73.0,76.5,4.6
00186,4.55859375,76.5,79.5,4.98
00187,3.771484375,80.5,62.0,3.2
00188,3.787109375,85.5,77.5,4.5
00189,2.8203125,76.0,67.5,4.0
00190,4.52734375,78.0,79.0,4.95
00191,2.9765625,85.5,75.0,3.8
00192,4.1328125,80.0,73.0,4.2
00193,4.30078125,76.0,72.0,4.4
00194,3.810546875,72.0,65.0,4.67
00195,4.43359375,79.0,79.0,4.67
00196,2.857421875,86.0,36.0,3.2
00197,4.32421875,78.0,79.0,4.38
00198,4.48828125,79.5,79.5,4.87
00199,3.4453125,85.0,44.0,4.25
00200,3.96875,83.5,81.0,4.5
00201,3.56640625,58.25,56.25,4.3
00202,4.265625,79.0,74.5,4.7
00203,2.806640625,82.0,40.5,3.8
00204,4.1796875,80.5,80.0,4.8
00205,4.3984375,81.0,79.5,4.87
00206,3.92578125,80.5,67.0,4.8
00207,4.421875,74.5,79.5,4.9
00208,4.390625,65.0,79.0,4.5
00209,3.36328125,76.0,59.5,4.5
00210,4.48046875,80.0,79.5,4.9
00211,4.4140625,80.5,80.0,4.75
00212,4.51953125,44.0,79.5,4.6
00213,4.23046875,62.5,65.0,4.3
00214,4.5390625,64.5,79.5,4.8
00215,4.34765625,76.0,75.5,4.6
00216,3.52734375,75.5,57.75,4.0
00217,4.27734375,73.0,79.5,4.5
00218,4.37890625,79.0,79.5,4.3
00219,4.04296875,66.0,74.5,4.0
00220,4.13671875,80.0,79.0,4.5
00221,4.125,75.0,75.5,4.67
00222,4.51953125,69.5,79.5,4.87
00223,4.3671875,62.5,75.5,4.7
00224,3.6015625,54.5,54.75,4.2
00225,4.21484375,67.0,70.0,4.38
00226,4.45703125,53.25,79.5,4.6
00227,3.849609375,62.5,65.5,4.2
00228,4.296875,58.5,78.5,4.8
00229,4.56640625,78.0,79.5,4.95
00230,4.5625,79.0,80.0,4.95
00231,4.3828125,84.5,80.5,4.87
00232,3.9375,70.0,65.0,4.3
00233,3.3359375,85.0,45.25,3.5
00234,3.828125,53.25,53.25,4.38
00235,4.390625,80.0,78.5,4.8
00236,3.87109375,69.5,74.5,4.5
00237,4.34375,66.5,79.0,4.38
00238,3.97265625,72.5,75.0,4.2
00239,4.12890625,77.0,75.5,4.3
00240,4.4765625,80.5,80.0,4.87
00241,3.970703125,81.5,69.0,4.7
00242,3.90625,66.0,64.5,4.3
00243,3.138671875,45.25,43.75,4.0
00244,3.220703125,82.0,63.25,4.3
00245,4.01953125,81.5,68.5,4.5
00246,4.578125,79.5,79.5,4.87
00247,4.21875,82.5,70.0,4.5
00248,2.20703125,58.0,58.75,4.0
00249,4.24609375,74.0,79.5,4.8
00250,3.37109375,35.0,43.0,3.8
00251,3.83984375,79.0,58.5,4.67
00252,4.4453125,76.5,75.0,4.38
00253,4.09765625,77.0,62.25,4.9
00254,3.578125,75.5,67.5,4.0
00255,3.40625,85.5,78.5,4.3
00256,4.28125,80.5,79.0,4.5
00257,4.15625,75.0,73.0,4.5
00258,3.55078125,81.5,58.5,3.8
00259,4.48046875,61.75,79.0,4.8
00260,3.974609375,57.25,57.25,4.5
00261,4.2578125,79.5,78.5,4.7
00262,4.07421875,77.5,77.0,4.67
00263,4.00390625,54.0,78.0,4.6
00264,3.431640625,85.5,48.25,3.8
00265,3.623046875,75.5,64.5,3.7
00266,3.453125,84.5,65.0,4.3
00267,4.0390625,77.5,73.5,4.3
00268,4.078125,54.75,68.0,4.2
00269,4.15625,80.0,67.5,4.5
00270,3.91796875,70.0,66.5,3.8
00271,4.08203125,79.5,79.5,4.8
00272,3.427734375,61.0,59.5,4.7
00273,4.2109375,85.5,75.5,4.7
00274,3.384765625,80.5,62.0,4.3
00275,3.931640625,79.5,75.5,4.7
00276,4.3046875,75.5,79.5,4.8
00277,4.0,83.0,78.0,4.5
00278,4.55078125,79.5,80.0,4.7
00279,4.18359375,75.5,79.5,4.8
00280,4.31640625,79.5,74.0,4.0
00281,4.46875,81.0,80.0,4.87
00282,4.4921875,78.0,79.5,4.8
00283,4.11328125,77.0,79.0,4.8
00284,4.28515625,60.25,74.0,4.7
00285,3.767578125,76.5,74.0,4.5
00286,4.16796875,84.5,79.5,4.8
00287,4.08203125,80.0,74.5,4.5
00288,4.60546875,55.75,80.0,4.9
00289,4.16015625,70.0,74.5,4.7
00290,3.98828125,83.5,74.0,4.2
00291,4.4921875,75.5,80.0,4.5
00292,3.453125,79.0,66.5,3.75
00293,3.18359375,47.25,47.25,4.38
00294,3.759765625,63.5,66.0,4.3
00295,4.2890625,68.5,74.5,4.7
00296,4.48046875,58.5,80.0,4.8
00297,3.884765625,80.5,74.5,4.2
00298,4.5390625,78.5,79.5,4.7
00299,4.60546875,80.0,80.0,4.8
00300,3.81640625,74.5,61.0,4.3
00301,4.55859375,80.5,79.5,4.8
00302,4.50390625,80.0,79.5,4.75
00303,3.98046875,57.75,65.5,4.75
00304,3.45703125,82.5,59.25,4.0
00305,3.6875,76.0,65.0,4.2
00306,4.01171875,77.5,77.5,4.7
00307,4.53515625,69.0,80.0,4.9
00308,4.29296875,60.75,73.0,4.3
00309,4.5,80.0,80.0,4.9
00310,4.50390625,80.0,79.5,4.67
00311,4.00390625,39.5,47.75,4.6
00312,4.51171875,66.5,78.5,4.9
00313,4.4375,60.0,78.5,4.8
00314,4.05078125,85.5,61.5,4.3
00315,4.0546875,83.5,78.5,4.5
00316,4.3828125,80.0,80.0,4.6
00317,4.41015625,75.5,79.0,4.75
00318,3.998046875,81.0,79.0,4.5
00319,3.755859375,71.5,74.0,4.5
