sample_id,canny_edge_density,canny_f1,canny_f1_strict,canny_precision,canny_recall,canny_tol_px
00000,0.04567766189575195,1.0,1.0,1.0,1.0,1
00001,0.03928828239440918,1.0,1.0,1.0,1.0,1
00002,0.12961268424987793,1.0,1.0,1.0,1.0,1
00003,0.031935691833496094,1.0,1.0,1.0,1.0,1
00004,0.06565213203430176,1.0,1.0,1.0,1.0,1
00005,0.07056832313537598,1.0,1.0,1.0,1.0,1
00006,0.002597808837890625,1.0,1.0,1.0,1.0,1
00007,0.21779155731201172,1.0,1.0,1.0,1.0,1
00008,0.17322635650634766,1.0,1.0,1.0,1.0,1
00009,0.1372227668762207,1.0,1.0,1.0,1.0,1
00010,0.0768132209777832,1.0,1.0,1.0,1.0,1
00011,0.0376582145690918,1.0,1.0,1.0,1.0,1
00012,0.14857101440429688,1.0,1.0,1.0,1.0,1
00013,0.14134860038757324,1.0,1.0,1.0,1.0,1
00014,0.06710433959960938,1.0,1.0,1.0,1.0,1
00015,0.02829885482788086,1.0,1.0,1.0,1.0,1
00016,0.15130043029785156,1.0,1.0,1.0,1.0,1
00017,0.01774311065673828,1.0,1.0,1.0,1.0,1
00018,0.16367220878601074,1.0,1.0,1.0,1.0,1
00019,0.037477731704711914,1.0,1.0,1.0,1.0,1
00020,0.01030421257019043,1.0,1.0,1.0,1.0,1
00021,0.06331777572631836,1.0,1.0,1.0,1.0,1
00022,0.16471648216247559,1.0,1.0,1.0,1.0,1
00023,0.04494953155517578,1.0,1.0,1.0,1.0,1
00024,0.03324079513549805,1.0,1.0,1.0,1.0,1
00025,0.11113119125366211,1.0,1.0,1.0,1.0,1
00026,0.05653858184814453,1.0,1.0,1.0,1.0,1
00027,0.03580284118652344,1.0,1.0,1.0,1.0,1
00028,0.027469873428344727,1.0,1.0,1.0,1.0,1
00029,0.03012228012084961,1.0,1.0,1.0,1.0,1
00030,0.1513369083404541,1.0,1.0,1.0,1.0,1
00031,0.03722858428955078,1.0,1.0,1.0,1.0,1
00032,0.06951189041137695,1.0,1.0,1.0,1.0,1
00033,0.12993383407592773,1.0,1.0,1.0,1.0,1
00034,0.09064936637878418,1.0,1.0,1.0,1.0,1
00035,0.09432339668273926,1.0,1.0,1.0,1.0,1
00036,0.1476733684539795,1.0,1.0,1.0,1.0,1
00037,0.06680440902709961,1.0,1.0,1.0,1.0,1
00038,0.029036760330200195,1.0,1.0,1.0,1.0,1
00039,0.15772366523742676,1.0,1.0,1.0,1.0,1
00040,0.06446552276611328,1.0,1.0,1.0,1.0,1
00041,0.07838129997253418,1.0,1.0,1.0,1.0,1
00042,0.08603978157043457,1.0,1.0,1.0,1.0,1
00043,0.0011870861053466797,1.0,1.0,1.0,1.0,1
00044,0.007509469985961914,1.0,1.0,1.0,1.0,1
00045,0.27103424072265625,1.0,1.0,1.0,1.0,1
00046,0.010545730590820312,1.0,1.0,1.0,1.0,1
00047,0.04183554649353027,1.0,1.0,1.0,1.0,1
00048,0.14304590225219727,1.0,1.0,1.0,1.0,1
00049,0.07004046440124512,1.0,1.0,1.0,1.0,1
00050,0.07158970832824707,1.0,1.0,1.0,1.0,1
00051,0.11540937423706055,1.0,1.0,1.0,1.0,1
00052,0.02626180648803711,1.0,1.0,1.0,1.0,1
00053,0.08803987503051758,1.0,1.0,1.0,1.0,1
00054,0.012565374374389648,1.0,1.0,1.0,1.0,1
00055,0.05290412902832031,1.0,1.0,1.0,1.0,1
00056,0.04003620147705078,1.0,1.0,1.0,1.0,1
00057,0.0029315948486328125,1.0,1.0,1.0,1.0,1
00058,0.03781747817993164,1.0,1.0,1.0,1.0,1
00059,0.19820427894592285,1.0,1.0,1.0,1.0,1
00060,0.0596768856048584,1.0,1.0,1.0,1.0,1
00061,0.04143357276916504,1.0,1.0,1.0,1.0,1
00062,0.041239023208618164,1.0,1.0,1.0,1.0,1
00063,0.12526416778564453,1.0,1.0,1.0,1.0,1
00064,0.02548527717590332,1.0,1.0,1.0,1.0,1
00065,0.1539161205291748,1.0,1.0,1.0,1.0,1
00066,0.16965961456298828,1.0,1.0,1.0,1.0,1
00067,0.016279220581054688,1.0,1.0,1.0,1.0,1
00068,0.011873722076416016,1.0,1.0,1.0,1.0,1
00069,0.025641441345214844,1.0,1.0,1.0,1.0,1
00070,0.01798415184020996,1.0,1.0,1.0,1.0,1
00071,0.0601806640625,1.0,1.0,1.0,1.0,1
00072,0.05670046806335449,1.0,1.0,1.0,1.0,1
00073,0.1566479206085205,1.0,1.0,1.0,1.0,1
00074,0.1563582420349121,1.0,1.0,1.0,1.0,1
00075,0.06351089477539062,1.0,1.0,1.0,1.0,1
00076,0.016737699508666992,1.0,1.0,1.0,1.0,1
00077,0.02689957618713379,1.0,1.0,1.0,1.0,1
00078,0.15682244300842285,1.0,1.0,1.0,1.0,1
00079,0.09640073776245117,1.0,1.0,1.0,1.0,1
00080,0.034934043884277344,1.0,1.0,1.0,1.0,1
00081,0.029109477996826172,1.0,1.0,1.0,1.0,1
00082,0.05015850067138672,1.0,1.0,1.0,1.0,1
00083,0.08967423439025879,1.0,1.0,1.0,1.0,1
00084,0.009408235549926758,1.0,1.0,1.0,1.0,1
00085,0.01006937026977539,1.0,1.0,1.0,1.0,1
00086,0.004495382308959961,1.0,1.0,1.0,1.0,1
00087,0.06821274757385254,1.0,1.0,1.0,1.0,1
00088,0.07294416427612305,1.0,1.0,1.0,1.0,1
00089,0.131622314453125,1.0,1.0,1.0,1.0,1
00090,0.07268261909484863,1.0,1.0,1.0,1.0,1
00091,0.18239712715148926,1.0,1.0,1.0,1.0,1
00092,0.07860279083251953,1.0,1.0,1.0,1.0,1
00093,0.019707202911376953,1.0,1.0,1.0,1.0,1
00094,0.06342458724975586,1.0,1.0,1.0,1.0,1
00095,0.020627498626708984,1.0,1.0,1.0,1.0,1
00096,0.15508317947387695,1.0,1.0,1.0,1.0,1
00097,0.047844648361206055,1.0,1.0,1.0,1.0,1
00098,0.028606653213500977,1.0,1.0,1.0,1.0,1
00099,0.11446142196655273,1.0,1.0,1.0,1.0,1
00100,0.037824153900146484,1.0,1.0,1.0,1.0,1
00101,0.12233233451843262,1.0,1.0,1.0,1.0,1
00102,0.13125157356262207,1.0,1.0,1.0,1.0,1
00103,0.01678919792175293,1.0,1.0,1.0,1.0,1
00104,0.007853031158447266,1.0,1.0,1.0,1.0,1
00105,0.014920949935913086,1.0,1.0,1.0,1.0,1
00106,0.10484170913696289,1.0,1.0,1.0,1.0,1
00107,0.023140907287597656,1.0,1.0,1.0,1.0,1
00108,0.07143282890319824,1.0,1.0,1.0,1.0,1
00109,0.10964679718017578,1.0,1.0,1.0,1.0,1
00110,0.0778048038482666,1.0,1.0,1.0,1.0,1
00111,0.05100655555725098,1.0,1.0,1.0,1.0,1
00112,0.007462501525878906,1.0,1.0,1.0,1.0,1
00113,0.012280702590942383,1.0,1.0,1.0,1.0,1
00114,0.023477554321289062,1.0,1.0,1.0,1.0,1
00115,0.04081463813781738,1.0,1.0,1.0,1.0,1
00116,0.0462801456451416,1.0,1.0,1.0,1.0,1
00117,0.11355280876159668,1.0,1.0,1.0,1.0,1
00118,0.12130594253540039,1.0,1.0,1.0,1.0,1
00119,0.01124882698059082,1.0,1.0,1.0,1.0,1
00120,0.060486793518066406,1.0,1.0,1.0,1.0,1
00121,0.04779791831970215,1.0,1.0,1.0,1.0,1
00122,0.14176249504089355,1.0,1.0,1.0,1.0,1
00123,0.11214280128479004,1.0,1.0,1.0,1.0,1
00124,0.034186601638793945,1.0,1.0,1.0,1.0,1
00125,0.0429379940032959,1.0,1.0,1.0,1.0,1
00126,0.02498149871826172,1.0,1.0,1.0,1.0,1
00127,0.006506681442260742,1.0,1.0,1.0,1.0,1
00128,0.004491090774536133,1.0,1.0,1.0,1.0,1
00129,0.04526686668395996,1.0,1.0,1.0,1.0,1
00130,0.02849268913269043,1.0,1.0,1.0,1.0,1
00131,0.0045855045318603516,1.0,1.0,1.0,1.0,1
00132,0.05312156677246094,1.0,1.0,1.0,1.0,1
00133,0.08564233779907227,1.0,1.0,1.0,1.0,1
00134,0.06366896629333496,1.0,1.0,1.0,1.0,1
00135,0.036980390548706055,1.0,1.0,1.0,1.0,1
00136,0.03730487823486328,1.0,1.0,1.0,1.0,1
00137,0.0620121955871582,1.0,1.0,1.0,1.0,1
00138,0.07618832588195801,1.0,1.0,1.0,1.0,1
00139,0.032050132751464844,1.0,1.0,1.0,1.0,1
00140,0.02143239974975586,1.0,1.0,1.0,1.0,1
00141,0.03988456726074219,1.0,1.0,1.0,1.0,1
00142,0.0471034049987793,1.0,1.0,1.0,1.0,1
00143,0.22687149047851562,1.0,1.0,1.0,1.0,1
00144,0.010650157928466797,1.0,1.0,1.0,1.0,1
00145,0.1191556453704834,1.0,1.0,1.0,1.0,1
00146,0.03477025032043457,1.0,1.0,1.0,1.0,1
00147,0.1220543384552002,1.0,1.0,1.0,1.0,1
00148,0.11521625518798828,1.0,1.0,1.0,1.0,1
00149,0.023257017135620117,1.0,1.0,1.0,1.0,1
00150,0.055649757385253906,1.0,1.0,1.0,1.0,1
00151,0.009994268417358398,1.0,1.0,1.0,1.0,1
00152,0.051201581954956055,1.0,1.0,1.0,1.0,1
00153,0.15885162353515625,1.0,1.0,1.0,1.0,1
00154,0.0765223503112793,1.0,1.0,1.0,1.0,1
00155,0.09374046325683594,1.0,1.0,1.0,1.0,1
00156,0.16885805130004883,1.0,1.0,1.0,1.0,1
00157,0.01938009262084961,1.0,1.0,1.0,1.0,1
00158,0.06789660453796387,1.0,1.0,1.0,1.0,1
00159,0.04134941101074219,1.0,1.0,1.0,1.0,1
00160,0.020377635955810547,1.0,1.0,1.0,1.0,1
00161,0.13478803634643555,1.0,1.0,1.0,1.0,1
00162,0.10217523574829102,1.0,1.0,1.0,1.0,1
00163,0.00885319709777832,1.0,1.0,1.0,1.0,1
00164,0.01367044448852539,1.0,1.0,1.0,1.0,1
00165,0.048075199127197266,1.0,1.0,1.0,1.0,1
00166,0.023475170135498047,1.0,1.0,1.0,1.0,1
00167,0.03319954872131348,1.0,1.0,1.0,1.0,1
00168,0.18535995483398438,1.0,1.0,1.0,1.0,1
00169,0.03162097930908203,1.0,1.0,1.0,1.0,1
00170,0.1041707992553711,1.0,1.0,1.0,1.0,1
00171,0.11347508430480957,1.0,1.0,1.0,1.0,1
00172,0.019570589065551758,1.0,1.0,1.0,1.0,1
00173,0.08221673965454102,1.0,1.0,1.0,1.0,1
00174,0.012083292007446289,1.0,1.0,1.0,1.0,1
00175,0.023222923278808594,1.0,1.0,1.0,1.0,1
00176,0.010620832443237305,1.0,1.0,1.0,1.0,1
00177,0.0011103153228759766,1.0,1.0,1.0,1.0,1
00178,0.16721749305725098,1.0,1.0,1.0,1.0,1
00179,0.030504226684570312,1.0,1.0,1.0,1.0,1
00180,0.014920473098754883,1.0,1.0,1.0,1.0,1
00181,0.1376640796661377,1.0,1.0,1.0,1.0,1
00182,0.014873743057250977,1.0,1.0,1.0,1.0,1
00183,0.132537841796875,1.0,1.0,1.0,1.0,1
00184,0.16910505294799805,1.0,1.0,1.0,1.0,1
00185,0.08825826644897461,1.0,1.0,1.0,1.0,1
00186,0.046416521072387695,1.0,1.0,1.0,1.0,1
00187,0.04064512252807617,1.0,1.0,1.0,1.0,1
00188,0.03135967254638672,1.0,1.0,1.0,1.0,1
00189,0.09694480895996094,1.0,1.0,1.0,1.0,1
00190,0.08759236335754395,1.0,1.0,1.0,1.0,1
00191,0.07772135734558105,1.0,1.0,1.0,1.0,1
00192,0.03080582618713379,1.0,1.0,1.0,1.0,1
00193,0.005481719970703125,1.0,1.0,1.0,1.0,1
00194,0.010234355926513672,1.0,1.0,1.0,1.0,1
00195,0.036167144775390625,1.0,1.0,1.0,1.0,1
00196,0.06718826293945312,1.0,1.0,1.0,1.0,1
00197,0.03380775451660156,1.0,1.0,1.0,1.0,1
00198,0.012794256210327148,1.0,1.0,1.0,1.0,1
00199,0.0381317138671875,1.0,1.0,1.0,1.0,1
00200,0.059806108474731445,1.0,1.0,1.0,1.0,1
00201,0.044966936111450195,1.0,1.0,1.0,1.0,1
00202,0.04282045364379883,1.0,1.0,1.0,1.0,1
