sample_id,deqa,unipercept_iaa,unipercept_iqa,vqr1
00000,3.1875,60.75,47.75,4.2
00001,3.98046875,76.5,75.5,4.87
00002,4.3515625,65.5,79.0,4.67
00003,4.46484375,62.5,79.5,4.9
00004,3.109375,58.75,65.5,4.3
00005,3.40625,64.5,65.5,4.25
00006,2.625,57.25,49.75,3.2
00007,3.0390625,58.5,64.0,4.8
00008,4.21875,67.0,74.0,4.8
00009,4.2578125,79.5,79.0,4.8
00010,3.06640625,83.5,71.0,4.2
00011,4.30078125,79.5,78.5,4.5
00012,3.9375,74.5,72.0,4.7
00013,4.44921875,80.0,79.0,4.8
00014,3.744140625,75.5,79.0,4.5
00015,3.404296875,81.5,79.5,4.8
00016,3.212890625,72.5,65.5,4.2
00017,3.533203125,53.25,51.5,4.38
00018,4.55078125,80.0,80.0,4.95
00019,4.3671875,71.5,79.0,4.9
00020,4.4453125,59.0,69.5,4.2
00021,3.51171875,59.0,62.5,4.38
00022,4.25,80.0,79.5,4.9
00023,4.390625,64.5,76.5,4.7
00024,4.18359375,60.25,69.0,4.6
00025,3.333984375,65.5,63.5,4.2
00026,4.34375,75.5,74.5,4.5
00027,4.12109375,65.5,74.0,4.8
00028,4.37109375,71.0,79.5,4.95
00029,4.265625,63.25,79.0,4.8
00030,3.30078125,46.0,45.0,4.25
00031,3.53515625,78.5,74.0,4.5
00032,3.919921875,78.5,70.0,4.5
00033,3.3203125,63.5,62.25,4.6
00034,3.98046875,63.25,74.0,4.87
00035,3.77734375,76.0,79.5,4.5
00036,4.42578125,79.0,79.5,4.87
00037,4.01953125,69.5,66.5,4.2
00038,4.46875,77.0,79.0,4.8
00039,4.32421875,73.0,76.5,4.8
00040,4.0234375,76.0,68.5,4.2
00041,4.09375,83.0,79.5,4.6
00042,4.55078125,79.0,79.0,4.8
00043,2.734375,84.5,49.5,3.75
00044,4.14453125,75.0,75.5,4.6
00045,3.431640625,85.5,64.5,4.5
00046,3.50390625,83.5,73.5,4.3
00047,4.51171875,72.0,79.0,4.87
00048,4.125,76.0,74.0,4.6
00049,4.5234375,74.0,78.5,4.38
00050,2.341796875,80.5,38.25,3.2
00051,3.89453125,67.5,65.0,4.5
00052,3.947265625,59.75,67.0,4.7
00053,4.51171875,52.5,75.0,4.8
00054,3.4140625,82.0,53.75,4.0
00055,4.16015625,61.25,74.0,4.8
00056,4.359375,67.0,74.0,4.5
00057,3.888671875,77.0,62.25,3.8
00058,2.734375,65.0,65.0,4.0
00059,3.93359375,61.25,75.0,4.5
00060,4.2109375,74.0,79.0,4.5
00061,4.265625,58.75,76.0,4.67
00062,3.822265625,60.75,61.5,4.5
00063,3.6171875,60.5,60.75,2.0
00064,4.2890625,71.5,74.0,4.7
00065,3.755859375,78.0,70.0,4.5
00066,2.943359375,65.5,54.0,3.5
00067,3.966796875,58.0,59.75,4.7
00068,3.58984375,77.0,65.0,4.5
00069,3.7421875,57.5,74.5,4.3
