sample_id,deqa,unipercept_iaa,unipercept_iqa,vqr1
00000,3.189453125,58.0,48.75,4.0
00001,3.787109375,63.75,70.0,4.8
00002,4.17578125,72.5,79.0,4.5
00003,4.38671875,61.0,78.5,4.87
00004,3.443359375,59.5,65.0,4.5
00005,3.55859375,64.5,65.0,4.0
00006,2.666015625,56.25,47.25,3.2
00007,2.91015625,59.0,65.0,4.6
00008,4.30859375,65.0,72.0,4.87
00009,4.54296875,77.5,79.5,4.9
00010,3.310546875,84.0,72.0,4.2
00011,4.328125,78.5,79.0,4.6
00012,3.94921875,73.0,70.5,4.8
00013,4.5546875,79.5,78.5,4.9
00014,4.26953125,68.5,77.5,4.6
00015,3.69921875,80.5,79.0,4.8
00016,3.75,74.0,67.5,4.0
00017,3.732421875,52.0,50.5,4.5
00018,4.53125,79.5,80.5,4.95
00019,4.47265625,69.5,79.5,4.95
00020,4.41015625,59.25,70.0,4.3
00021,3.78515625,58.5,62.25,4.5
00022,4.390625,75.0,79.0,4.87
00023,4.48046875,64.5,75.5,4.8
00024,4.203125,60.75,68.0,4.75
00025,3.53125,64.5,59.75,4.2
00026,4.3828125,65.0,71.0,4.67
00027,4.3046875,64.0,72.0,4.8
00028,4.453125,67.5,79.5,4.95
00029,4.30859375,57.5,76.5,4.8
00030,3.57421875,54.75,58.25,4.3
00031,3.439453125,74.5,71.5,4.5
00032,4.00390625,80.0,72.0,4.6
00033,3.419921875,55.5,57.5,4.5
00034,4.13671875,61.5,64.5,4.87
00035,3.70703125,75.5,79.5,4.7
00036,4.57421875,76.5,79.5,4.7
00037,4.09375,64.5,64.5,4.3
00038,4.4453125,75.0,79.0,4.87
00039,4.3359375,67.5,74.0,4.67
00040,4.0625,75.0,70.0,4.5
00041,4.09375,82.0,74.0,4.5
00042,4.5078125,79.5,79.0,4.7
00043,2.830078125,84.5,49.25,3.8
00044,4.46484375,75.0,75.0,4.38
00045,3.5,85.5,65.0,4.5
00046,3.658203125,84.0,73.5,4.3
00047,4.546875,66.5,79.0,4.9
00048,4.22265625,75.0,74.0,4.6
00049,4.6171875,76.0,79.0,4.8
00050,2.341796875,81.0,38.75,3.2
00051,3.8671875,60.25,63.0,4.5
00052,4.11328125,61.0,72.5,4.5
00053,4.5859375,53.25,76.0,4.8
00054,3.361328125,81.5,53.25,4.0
00055,4.2578125,59.0,73.0,4.75
00056,4.3828125,65.5,72.5,4.38
00057,3.9609375,73.0,61.25,4.0
00058,2.955078125,62.5,62.25,4.0
00059,4.19921875,68.0,78.5,4.6
00060,4.25390625,74.5,79.0,4.38
00061,4.35546875,58.75,75.0,4.8
00062,3.955078125,60.5,61.75,4.6
00063,3.912109375,57.5,59.75,1.0
00064,4.26953125,64.5,71.5,4.5
00065,3.84375,77.5,72.0,4.38
00066,3.33984375,59.75,54.75,3.0
00067,4.25390625,54.0,57.25,4.87
00068,3.814453125,73.5,65.5,4.5
00069,4.08984375,56.25,70.0,4.38
00070,4.40234375,79.5,78.5,4.9
00071,2.845703125,63.25,42.5,3.0
00072,4.515625,78.5,80.0,4.95
00073,4.13671875,82.5,73.5,4.38
00074,4.40234375,84.0,76.5,4.8
00075,3.4921875,74.5,61.75,4.3
00076,4.02734375,59.25,67.5,4.8
00077,3.052734375,86.0,39.75,3.8
00078,4.53125,74.5,80.0,4.9
00079,4.375,82.0,78.5,4.67
00080,4.0,59.5,63.5,4.5
00081,4.1328125,62.75,69.5,4.5
00082,2.7734375,85.0,46.25,3.5
00083,4.265625,71.0,69.5,4.7
00084,3.552734375,75.0,55.0,4.2
00085,4.06640625,78.5,75.0,4.67
00086,3.0625,32.5,37.0,3.7
00087,3.5078125,85.5,50.25,3.2
00088,3.2578125,77.5,66.0,4.5
00089,4.296875,80.5,75.0,4.8
00090,4.5234375,64.5,78.5,4.9
00091,3.986328125,71.0,65.0,4.3
00092,4.33203125,79.0,79.0,4.6
00093,4.2578125,63.75,69.5,4.67
00094,3.724609375,54.5,53.0,4.2
00095,4.3359375,79.0,79.0,4.3
00096,4.54296875,77.0,79.5,4.9
00097,4.12109375,80.0,79.0,4.5
