split,condition,method,controller,res,cond_res,subset,via,n,f1,mse,rmse,miou,sr,fid,pfid,musiq,niqe,maniqa,qalign,deqa,unipercept_iaa,unipercept_iqa,vqr1,psnr,ssim,lpips,dists
ade20k_val2k,seg,pid_k16,easycontrol,2048,512,,,2000,,,,36.04551734692303,,,,,,,,,,,,,,,
ade20k_val2k,seg,pid_k16,easycontrol,512,512,,,2000,,,,36.53078857967581,,34.33869915881371,46.783099215292225,,,,,,,,,11.231127272367477,0.37222864750708917,0.6204819422215223,0.29568506532907485
ade20k_val2k,seg,pid_k24,easycontrol,2048,512,,,2000,,,,39.489612651079796,,,,,,,,,,,,,,,
ade20k_val2k,seg,pid_k24,easycontrol,512,512,,,2000,,,,39.643291283442466,,36.209201277755426,46.45827644128747,,,,,,,,,10.612329827308654,0.3711165868065053,0.6149131882116199,0.29402728322148325
ade20k_val2k,seg,pid_k28,easycontrol,2048,512,,,2000,,,,39.28092437903396,,,,,,,,,,,,,,,
ade20k_val2k,seg,pid_k28,easycontrol,512,512,,,2000,,,,39.339819744706794,,38.188974724835134,48.83737702190257,,,,,,,,,10.571397900938988,0.37848217996290184,0.614680002681911,0.29501922649145124
ade20k_val2k,seg,vae,easycontrol,512,512,,,2000,,,,39.2891756067593,,38.23133262746882,48.22123233107982,,,,,,,,,10.608888099431992,0.3866506161265585,0.6109542052000762,0.29221914252638814
ade20k_val2k,seg,pid_roundtrip,,2048,512,,,2000,,,,53.65197882734505,,,,,,,,,,,,,,,
ade20k_val2k,seg,pid_roundtrip,,512,512,,,2000,,,,53.46379591038907,,5.177178024804164,13.577091033185525,,,,,,,,,31.121770427703858,0.9151548131408308,0.05939639294706285,0.06968573209643364
ade20k_val2k,seg,real,,512,512,,,2000,,,,53.66232183199474,,,,,,,,,,,,,,,
ade20k_val2k,seg,vae_roundtrip,,512,512,,,2000,,,,53.56028741072938,,0.7036874642195698,1.9043170963994953,,,,,,,,,36.789152199745175,0.9689587570392861,0.011714564207941293,0.010386920988559723
coco_val5k,bbox,pid_roundtrip,,2048,512,,,5000,,,,62.37390407011663,68.75212744230376,,,,,,,,,,,,,,
coco_val5k,bbox,pid_roundtrip,,512,512,,,5000,,,,64.33816302550288,70.9408400844169,1.5914128986162837,3.815445416790567,,,,,,,,,28.856718130111695,0.8682494777895303,0.05414077823590487,0.055989329326152804
coco_val5k,bbox,real,,512,512,,,5000,,,,65.99066770113117,72.72108380420723,,,,,,,,,,,,,,
coco_val5k,bbox,vae_roundtrip,,512,512,,,5000,,,,65.4400731880324,72.06072571311866,0.5047807189939704,1.2373349981502884,,,,,,,,,32.751661693573,0.9334664693813426,0.018001107099163347,0.013868512690067291
dreambench750,subject,pid_k16,omini,512,512,,,750,,,,,,,,75.86256442260742,4.12617688203733,0.6245168232520422,4.559888020833333,,,,,,,,
dreambench750,subject,pid_k24,omini,512,512,,,750,,,,,,,,75.33051646931966,4.488124213528707,0.6129455294410388,4.5313828125,,,,,,,,
